Time v_x v_y v_z
0.000000 0.204210 0.194266 -0.047191
0.002004 0.207008 0.262532 -0.059417
0.004008 0.212296 0.349593 -0.044543
0.006012 0.208648 0.415702 -0.089186
0.008016 0.163641 0.495873 -0.090490
0.010020 0.178574 0.533336 -0.090296
0.012024 0.220621 0.596520 -0.110440
0.014028 0.230977 0.677030 -0.091157
0.016032 0.233065 0.748573 -0.078597
0.018036 0.216155 0.819586 -0.063361
0.020040 0.232225 0.912885 -0.048301
0.022044 0.142708 0.979453 -0.046175
0.024048 0.153888 1.010610 -0.041476
0.026052 0.139048 1.097070 -0.038726
0.028056 0.145047 1.189840 -0.039118
0.030060 0.145439 1.244130 -0.034267
0.032064 0.173833 1.297116 -0.069313
0.034068 0.220579 1.403857 -0.082515
0.036072 0.281957 1.443628 -0.113159
0.038076 0.271169 1.499954 -0.075356
0.040080 0.264587 1.589646 -0.021305
0.042084 0.268280 1.658602 0.021496
0.044088 0.237309 1.753444 0.021612
0.046092 0.241370 1.805695 0.029070
0.048096 0.201570 1.873199 0.027295
0.050100 0.207846 1.907005 0.027315
0.052104 0.197571 1.940677 0.000153
0.054108 0.166831 1.984512 -0.003258
0.056112 0.173209 2.049279 -0.037135
0.058116 0.200355 2.041115 0.029450
0.060120 0.196046 2.064266 0.000988
0.062124 0.195100 2.077827 0.027470
0.064128 0.189834 2.112708 0.029022
0.066132 0.156111 2.105958 -0.048375
0.068136 0.171885 2.104082 -0.054861
0.070140 0.181769 2.107755 -0.018360
0.072144 0.247106 2.128561 -0.039912
0.074148 0.221853 2.129049 -0.008335
0.076152 0.212898 2.163373 0.001947
0.078156 0.229188 2.221851 0.015760
0.080160 0.213382 2.295906 0.027775
0.082164 0.222036 2.337163 0.016466
0.084168 0.252258 2.380561 -0.025242
0.086172 0.290601 2.389132 0.006091
0.088176 0.279109 2.454140 0.012632
0.090180 0.314938 2.482555 0.043426
0.092184 0.365459 2.538515 0.037020
0.094188 0.370033 2.637936 0.013332
0.096192 0.397111 2.680094 0.025624
0.098196 0.416154 2.737784 0.011246
0.100200 0.407113 2.791794 0.041772
0.102204 0.397867 2.821925 0.025831
0.104208 0.469140 2.813452 0.026759
0.106212 0.477713 2.845547 0.026693
0.108216 0.523389 2.857869 0.014983
0.110220 0.499412 2.877398 -0.028596
0.112224 0.445638 2.897235 -0.025810
0.114228 0.410464 2.922396 -0.012804
0.116232 0.426537 2.971535 0.005342
0.118236 0.440908 3.037795 0.010271
0.120240 0.435361 3.083449 0.075653
0.122244 0.423197 3.123100 0.065622
0.124248 0.462109 3.125807 0.050962
0.126253 0.459319 3.116111 0.078896
0.128257 0.479485 3.142653 0.072597
0.130261 0.465214 3.195596 0.072478
0.132265 0.459692 3.214618 0.081769
0.134269 0.441178 3.245811 0.094375
0.136273 0.431001 3.299868 0.134337
0.138277 0.423842 3.269881 0.152848
0.140281 0.418092 3.297146 0.182271
0.142285 0.410231 3.278243 0.202527
0.144289 0.443911 3.319219 0.171507
0.146293 0.442674 3.317859 0.168229
0.148297 0.452176 3.325907 0.165545
0.150301 0.460157 3.324912 0.175861
0.152305 0.462484 3.334038 0.192021
