Time v_x v_y v_z
0.000000 -0.047688 0.071015 -0.171335
0.002004 -0.066545 0.118069 -0.201773
0.004008 -0.077648 0.201264 -0.200013
0.006012 -0.091470 0.257616 -0.225487
0.008016 -0.076957 0.380045 -0.253376
0.010020 -0.092779 0.439577 -0.279621
0.012024 -0.062374 0.546693 -0.252518
0.014028 -0.097834 0.642808 -0.237975
0.016032 -0.090439 0.708294 -0.227276
0.018036 -0.125393 0.789367 -0.187777
0.020040 -0.099562 0.834968 -0.185621
0.022044 -0.062774 0.895061 -0.196074
0.024048 -0.106468 0.963029 -0.184462
0.026052 -0.089103 1.004588 -0.176750
0.028056 -0.074977 1.072126 -0.176282
0.030060 -0.053224 1.140557 -0.168436
0.032064 -0.062789 1.202818 -0.147973
0.034068 -0.082943 1.268451 -0.131869
0.036072 -0.097681 1.347193 -0.103548
0.038076 -0.108196 1.445080 -0.110729
0.040080 -0.121716 1.516177 -0.140926
0.042084 -0.128578 1.654957 -0.104866
0.044088 -0.102077 1.655060 -0.108170
0.046092 -0.090264 1.687865 -0.071636
0.048096 -0.060905 1.728536 -0.087118
0.050100 -0.065550 1.746900 -0.061416
0.052104 -0.096347 1.765747 -0.025988
0.054108 -0.103679 1.810198 -0.052652
0.056112 -0.140408 1.905842 -0.032248
0.058116 -0.122578 1.971276 -0.043124
0.060120 -0.114171 2.029963 -0.037161
0.062124 -0.093939 2.049489 -0.036077
0.064128 -0.118303 2.059292 -0.047057
0.066132 -0.092300 2.115048 -0.047888
0.068136 -0.118588 2.142967 -0.018100
0.070140 -0.102861 2.197875 -0.024210
0.072144 -0.103807 2.167199 -0.018088
0.074148 -0.103278 2.212324 -0.016883
0.076152 -0.091869 2.238151 -0.049882
0.078156 -0.085954 2.267476 -0.059692
0.080160 -0.100883 2.290942 -0.046247
0.082164 -0.112657 2.331418 -0.063579
0.084168 -0.126774 2.333192 -0.051392
0.086172 -0.128758 2.357328 -0.050802
0.088176 -0.095144 2.376052 -0.042898
0.090180 -0.118702 2.385096 -0.025123
0.092184 -0.093710 2.407546 -0.055995
0.094188 -0.068027 2.456547 -0.059077
0.096192 -0.090274 2.527359 -0.009497
0.098196 -0.086363 2.561818 0.025698
0.100200 -0.107079 2.582162 0.041248
0.102204 -0.098404 2.603647 0.040267
0.104208 -0.081337 2.639318 0.034695
0.106212 -0.069408 2.683266 -0.003302
0.108216 -0.083863 2.737616 0.026727
0.110220 -0.115018 2.760206 0.033508
0.112224 -0.155641 2.806938 0.059698
0.114228 -0.143210 2.830634 0.059406
0.116232 -0.105318 2.852911 0.028749
0.118236 -0.120354 2.926616 0.009153
0.120240 -0.122855 2.985162 0.014229
0.122244 -0.121959 3.003556 0.015592
0.124248 -0.100418 2.998798 0.039103
0.126253 -0.074410 3.058791 0.024211
0.128257 -0.066571 3.112513 0.037130
0.130261 -0.071049 3.159766 0.059517
0.132265 -0.042977 3.162248 0.065053
0.134269 -0.063179 3.176345 0.049906
0.136273 -0.085518 3.192639 0.043925
0.138277 -0.090056 3.225849 0.059854
0.140281 -0.126767 3.210357 0.038494
0.142285 -0.101306 3.223962 0.053526
0.144289 -0.059143 3.227837 0.069791
0.146293 -0.076115 3.222716 0.100277
0.148297 -0.077811 3.252600 0.072609
0.150301 -0.113319 3.254520 0.054566
0.152305 -0.064248 3.258088 0.084097
0.154309 -0.067356 3.271989 0.091376
0.156313 -0.052164 3.287607 0.070964
0.158317 -0.052371 3.282986 0.073307
0.160321 -0.093723 3.329719 0.073489
0.162325 -0.070340 3.364425 0.064818
0.164329 -0.054695 3.383433 0.025804
0.166333 -0.051296 3.427369 0.039935
0.168337 -0.048359 3.442788 0.037153
0.170341 -0.074757 3.489493 0.074923
0.172345 -0.066455 3.507638 0.055177
0.174349 -0.099057 3.506366 0.038782
0.176353 -0.090626 3.544612 -0.007148
0.178357 -0.073455 3.518577 0.000869
0.180361 -0.097358 3.517766 -0.011165
0.182365 -0.134664 3.527854 -0.035148
0.184369 -0.141671 3.564098 -0.035900
0.186373 -0.127268 3.560455 -0.059686
0.188377 -0.122087 3.588887 -0.051424
0.190381 -0.113001 3.633784 -0.028505
0.192385 -0.095627 3.670653 -0.023534
0.194389 -0.112448 3.666940 -0.024254
0.196393 -0.089317 3.667155 -0.003611
0.198397 -0.093903 3.747905 -0.012975
0.200401 -0.070041 3.785308 -0.029758
0.202405 -0.074618 3.840758 0.017766
0.204409 -0.056753 3.848353 -0.034145
0.206413 -0.074286 3.882924 -0.036066
0.208417 -0.056776 3.897228 -0.018982
0.210421 -0.072478 3.906642 -0.031665
0.212425 -0.052662 3.936676 -0.052732
0.214429 -0.081555 3.953431 -0.053885
0.216433 -0.054244 3.979995 -0.042045
0.218437 -0.120192 4.009434 -0.045803
0.220441 -0.110515 4.051953 -0.046191
0.222445 -0.093641 4.034724 -0.049469
0.224449 -0.129736 4.052442 -0.056011
0.226453 -0.102444 4.083675 -0.079650
0.228457 -0.100954 4.101648 -0.059424
0.230461 -0.096313 4.101060 -0.046029
0.232465 -0.111591 4.120830 -0.050371
0.234469 -0.138541 4.156322 -0.056902
0.236473 -0.171413 4.182363 -0.064442
0.238477 -0.159523 4.218936 -0.040461
0.240481 -0.173091 4.230663 -0.044560
0.242485 -0.180963 4.257911 -0.015820
0.244489 -0.142350 4.311375 -0.017507
0.246493 -0.149599 4.332528 -0.010134
0.248497 -0.156890 4.352990 -0.022509
0.250501 -0.077521 4.360935 -0.032754
0.252505 -0.078263 4.395239 -0.080542
0.254509 -0.045613 4.395104 -0.102879
0.256513 -0.069730 4.413377 -0.100785
0.258517 -0.073445 4.453511 -0.061973
0.260521 -0.090600 4.495559 -0.084344
0.262525 -0.100695 4.470196 -0.038660
0.264529 -0.125748 4.497018 -0.018432
0.266533 -0.096116 4.524724 -0.028837
0.268537 -0.112399 4.553306 -0.022392
0.270541 -0.100089 4.561183 -0.005818
0.272545 -0.091746 4.589976 -0.054973
0.274549 -0.060613 4.586737 -0.033030
0.276553 -0.032867 4.564968 -0.028847
0.278557 -0.044690 4.616657 -0.011025
0.280561 -0.020280 4.616895 -0.035865
0.282565 -0.034963 4.651598 -0.038158
0.284569 -0.062907 4.645865 -0.031727
0.286573 -0.097055 4.699338 -0.025326
0.288577 -0.085810 4.721406 -0.036386
0.290581 -0.097803 4.715768 -0.009210
0.292585 -0.085310 4.782082 -0.003388
0.294589 -0.035469 4.807517 0.037470
0.296593 -0.041624 4.774799 -0.036577
0.298597 -0.026333 4.747004 -0.084769
0.300601 -0.013257 4.784165 -0.040932
0.302605 0.008394 4.821075 -0.054273
0.304609 0.007946 4.823752 -0.067106
0.306613 -0.015219 4.827454 -0.072098
0.308617 -0.041451 4.848572 -0.066775
0.310621 -0.051806 4.888886 -0.028563
0.312625 -0.073914 4.913924 -0.040838
0.314629 -0.076510 4.932672 -0.073075
0.316633 -0.078303 4.924049 -0.066060
0.318637 -0.096048 4.907696 -0.068336
0.320641 -0.141006 4.893918 -0.056516
0.322645 -0.138053 4.890056 -0.033124
0.324649 -0.120444 4.871989 -0.009982
0.326653 -0.136492 4.888566 0.007528
0.328657 -0.136602 4.920346 0.001316
0.330661 -0.135112 4.956284 -0.002174
0.332665 -0.124450 4.976542 0.002261
0.334669 -0.149279 4.980230 -0.049323
0.336673 -0.145754 4.999695 -0.039063
0.338677 -0.173265 5.038994 -0.034836
0.340681 -0.188677 5.071490 -0.039692
0.342685 -0.202615 5.084173 0.012349
0.344689 -0.211146 5.103985 0.041105
0.346693 -0.207529 5.140327 0.040808
0.348697 -0.203850 5.144113 0.009315
0.350701 -0.223872 5.171123 0.020164
0.352705 -0.203227 5.180175 0.056957
0.354709 -0.215856 5.182880 0.049050
0.356713 -0.233496 5.207024 0.043965
0.358717 -0.254668 5.195506 0.082370
0.360721 -0.230133 5.180517 0.083767
0.362725 -0.228897 5.163492 0.126125
0.364729 -0.198629 5.160765 0.135978
0.366733 -0.192384 5.205762 0.135594
0.368737 -0.192562 5.211003 0.170683
0.370741 -0.206338 5.204808 0.189136
0.372745 -0.185402 5.185198 0.181634
0.374749 -0.190326 5.174349 0.180873
0.376754 -0.155155 5.176798 0.221349
0.378758 -0.206053 5.214462 0.247399
0.380762 -0.155418 5.229253 0.251706
0.382766 -0.177743 5.247380 0.267730
0.384770 -0.168365 5.284754 0.263068
0.386774 -0.149455 5.312375 0.256520
0.388778 -0.152169 5.358866 0.242557
0.390782 -0.127104 5.362885 0.267457
0.392786 -0.111200 5.362023 0.296833
0.394790 -0.110911 5.368855 0.272137
0.396794 -0.128032 5.392986 0.250649
0.398798 -0.129295 5.408289 0.244687
0.400802 -0.103421 5.377790 0.258535
0.402806 -0.085663 5.378306 0.262720
0.404810 -0.081622 5.396429 0.253071
0.406814 -0.089131 5.400980 0.259932
0.408818 -0.073733 5.420789 0.283720
0.410822 -0.074280 5.402768 0.292841
0.412826 -0.097875 5.425722 0.311050
0.414830 -0.091557 5.497909 0.284115
0.416834 -0.095887 5.513918 0.279144
0.418838 -0.102964 5.539230 0.285215
0.420842 -0.125682 5.571220 0.271529
0.422846 -0.162904 5.546395 0.265953
0.424850 -0.141090 5.536034 0.234229
0.426854 -0.180123 5.559141 0.237398
0.428858 -0.189176 5.548599 0.254693
0.430862 -0.189982 5.582970 0.258543
0.432866 -0.196540 5.571193 0.252473
0.434870 -0.176484 5.584072 0.219986
0.436874 -0.189680 5.618104 0.196405
0.438878 -0.170920 5.642190 0.211872
0.440882 -0.177803 5.656339 0.216314
0.442886 -0.206182 5.655592 0.204508
0.444890 -0.153296 5.653825 0.187930
0.446894 -0.116881 5.660400 0.219799
0.448898 -0.103369 5.680319 0.212608
0.450902 -0.096432 5.731976 0.213506
0.452906 -0.097228 5.742812 0.198436
0.454910 -0.142701 5.791394 0.206026
0.456914 -0.114627 5.821531 0.202297
0.458918 -0.130706 5.809030 0.210197
0.460922 -0.122448 5.830200 0.207697
0.462926 -0.122796 5.841324 0.183385
0.464930 -0.123860 5.866730 0.187006
0.466934 -0.097095 5.911400 0.175954
0.468938 -0.112778 5.908054 0.182356
0.470942 -0.131344 5.910781 0.216632
0.472946 -0.131682 5.935989 0.185437
0.474950 -0.093457 5.928346 0.186613
0.476954 -0.069982 5.934000 0.194066
0.478958 -0.072679 5.920193 0.201728
0.480962 -0.044714 5.923831 0.153955
0.482966 -0.046764 5.902919 0.143188
0.484970 -0.061146 5.932834 0.124845
0.486974 -0.059526 5.984867 0.127894
0.488978 -0.068375 5.975705 0.115789
0.490982 -0.090765 5.966089 0.136513
0.492986 -0.090003 5.958708 0.153267
0.494990 -0.095979 5.958903 0.167693
0.496994 -0.117297 5.980018 0.158144
0.498998 -0.117524 5.966589 0.149699
0.501002 -0.120189 5.989623 0.152809
0.503006 -0.082589 5.988204 0.199042
0.505010 -0.087497 6.004134 0.221370
0.507014 -0.102284 5.990563 0.247032
0.509018 -0.070983 5.964114 0.251847
0.511022 -0.062716 5.970470 0.207090
0.513026 -0.099070 6.005420 0.204829
0.515030 -0.075349 6.022037 0.197309
0.517034 -0.068050 6.064306 0.192072
0.519038 -0.062625 6.051977 0.183074
0.521042 -0.053658 6.033233 0.177350
0.523046 -0.049871 6.075412 0.159025
0.525050 -0.083705 6.070593 0.187139
0.527054 -0.097050 6.076772 0.177380
0.529058 -0.071816 6.087679 0.174956
0.531062 -0.054084 6.127352 0.174947
0.533066 -0.024683 6.154687 0.175308
0.535070 -0.023916 6.150732 0.204840
0.537074 -0.029908 6.166880 0.210259
0.539078 -0.006402 6.179208 0.214327
0.541082 -0.003441 6.199707 0.215593
0.543086 0.030462 6.198740 0.221942
0.545090 0.053135 6.204259 0.223060
0.547094 0.045439 6.241438 0.225357
0.549098 0.052487 6.263908 0.204048
0.551102 0.062352 6.227196 0.211420
0.553106 0.081880 6.254743 0.257150
0.555110 0.037683 6.262807 0.250350
0.557114 0.063732 6.238358 0.252544
0.559118 0.059069 6.241695 0.194514
0.561122 0.058389 6.262363 0.180593
0.563126 0.030090 6.283465 0.203392
0.565130 0.023984 6.296089 0.239930
0.567134 0.061002 6.310490 0.225913
0.569138 0.068126 6.325455 0.211127
0.571142 0.090212 6.351940 0.224597
