Time p_x p_y p_z
0.302605 -0.166542 4.298868 0.072782
0.304609 -0.166477 4.313575 0.072886
0.306613 -0.166421 4.328290 0.072992
0.308617 -0.166364 4.343010 0.073098
0.310621 -0.166299 4.357732 0.073220
0.312625 -0.166250 4.372431 0.073329
0.314629 -0.166215 4.387121 0.073444
0.316633 -0.166194 4.401799 0.073547
0.318637 -0.166186 4.416472 0.073641
0.320641 -0.166176 4.431142 0.073742
0.322645 -0.166156 4.445810 0.073828
0.324649 -0.166135 4.460476 0.073920
0.326653 -0.166130 4.475140 0.074015
0.328657 -0.166117 4.489788 0.074103
0.330661 -0.166105 4.504441 0.074179
0.332665 -0.166096 4.519100 0.074265
0.334669 -0.166080 4.530092 0.074344
0.336673 -0.166072 4.541077 0.074410
0.338677 -0.166065 4.552070 0.074458
0.340681 -0.166042 4.563044 0.074517
0.342685 -0.166017 4.573999 0.074572
0.344689 -0.165993 4.584948 0.074628
0.346693 -0.165998 4.595873 0.074670
0.348697 -0.165989 4.606778 0.074713
0.350701 -0.165955 4.617665 0.074744
0.352705 -0.165915 4.628543 0.074770
0.354709 -0.165870 4.639422 0.074807
0.356713 -0.165818 4.650308 0.074852
0.358717 -0.165765 4.661195 0.074881
0.360721 -0.165718 4.672096 0.074919
0.362725 -0.165678 4.683019 0.074966
0.364729 -0.165625 4.693938 0.075015
0.366733 -0.165577 4.704871 0.075058
0.368737 -0.165538 4.715797 0.075095
0.370741 -0.165490 4.726731 0.075160
0.372745 -0.165428 4.737644 0.075196
0.374749 -0.165363 4.748552 0.075221
0.376754 -0.165301 4.759468 0.075253
0.378758 -0.165254 4.770371 0.075291
0.380762 -0.165216 4.781256 0.075331
0.382766 -0.165163 4.792141 0.075390
0.384770 -0.165128 4.803026 0.075452
0.386774 -0.165103 4.813922 0.075505
0.388778 -0.165067 4.824812 0.075557
0.390782 -0.165052 4.835707 0.075628
0.392786 -0.165035 4.846581 0.075688
0.394790 -0.165012 4.857445 0.075758
0.396794 -0.164992 4.868312 0.075830
0.398798 -0.164968 4.879191 0.075892
0.400802 -0.164926 4.890070 0.075938
0.402806 -0.164892 4.900962 0.075999
0.404810 -0.164874 4.911873 0.076060
0.406814 -0.164873 4.922795 0.076137
0.408818 -0.164889 4.933727 0.076226
0.410822 -0.164909 4.944684 0.076331
0.412826 -0.164929 4.955636 0.076445
0.414830 -0.164936 4.966581 0.076559
0.416834 -0.164940 4.977537 0.076671
0.418838 -0.164929 4.988480 0.076774
0.420842 -0.164912 4.999430 0.076886
0.422846 -0.164883 5.010376 0.077017
0.424850 -0.164848 5.021299 0.077143
0.426854 -0.164831 5.032229 0.077256
0.428858 -0.164823 5.043147 0.077366
0.430862 -0.164814 5.054071 0.077461
0.432866 -0.164800 5.064997 0.077531
0.434870 -0.164769 5.075918 0.077590
0.436874 -0.164744 5.086845 0.077648
0.438878 -0.164732 5.097786 0.077726
0.440882 -0.164704 5.108720 0.077809
0.442886 -0.164685 5.119661 0.077893
0.444890 -0.164670 5.130605 0.077973
0.446894 -0.164664 5.141517 0.078042
0.448898 -0.164665 5.152430 0.078101
0.450902 -0.164683 5.163341 0.078155
0.452906 -0.164728 5.174249 0.078186
0.454910 -0.164778 5.185154 0.078198
0.456914 -0.164841 5.196041 0.078214
0.458918 -0.164916 5.206907 0.078238
0.460922 -0.164994 5.217777 0.078264
0.462926 -0.165069 5.228669 0.078286
0.464930 -0.165164 5.239561 0.078315
0.466934 -0.165252 5.250451 0.078352
0.468938 -0.165352 5.261356 0.078396
0.470942 -0.165447 5.272275 0.078447
0.472946 -0.165546 5.283207 0.078498
