Time p_x p_y p_z
0.000000 -0.112795 0.151748 0.079487
0.002004 -0.112819 0.219966 0.079401
0.004008 -0.112853 0.288173 0.079300
0.006012 -0.112891 0.356387 0.079200
0.008016 -0.112937 0.424595 0.079087
0.010020 -0.112976 0.492831 0.078961
0.012024 -0.113022 0.561062 0.078821
0.014028 -0.113053 0.629312 0.078695
0.016032 -0.113102 0.697577 0.078576
0.018036 -0.113147 0.765840 0.078462
0.020040 -0.113210 0.834110 0.078368
0.022044 -0.113260 0.902368 0.078275
0.024048 -0.113291 0.970623 0.078177
0.026052 -0.113344 1.038877 0.078085
0.028056 -0.113389 1.107118 0.077997
0.030060 -0.113426 1.175358 0.077908
0.032064 -0.113453 1.243599 0.077824
0.034068 -0.113484 1.311837 0.077750
0.036072 -0.113526 1.380073 0.077684
0.038076 -0.113575 1.448315 0.077633
0.040080 -0.113629 1.516572 0.077577
0.042084 -0.113690 1.584830 0.077507
0.044088 -0.113754 1.653123 0.077454
0.046092 -0.113805 1.688915 0.077400
0.048096 -0.113850 1.724706 0.077364
0.050100 -0.113881 1.760498 0.077321
0.052104 -0.113913 1.796283 0.077290
0.054108 -0.113962 1.832058 0.077277
0.056112 -0.114013 1.867838 0.077251
0.058116 -0.114084 1.903648 0.077235
0.060120 -0.114145 1.939473 0.077213
0.062124 -0.114202 1.975310 0.077195
0.064128 -0.114249 2.011138 0.077176
0.066132 -0.114308 2.046953 0.077153
0.068136 -0.114354 2.082779 0.077129
0.070140 -0.114414 2.118600 0.077120
0.072144 -0.114465 2.154431 0.077108
0.074148 -0.114517 2.190229 0.077099
0.076152 -0.114569 2.226032 0.077090
0.078156 -0.114614 2.261830 0.077065
0.080160 -0.114657 2.297624 0.077036
0.082164 -0.114708 2.333412 0.077012
0.084168 -0.114764 2.369203 0.076981
0.086172 -0.114828 2.404977 0.076955
0.088176 -0.114892 2.440745 0.076930
0.090180 -0.114940 2.476504 0.076908
0.092184 -0.114999 2.512250 0.076896
0.094188 -0.115046 2.547990 0.076868
0.096192 -0.115080 2.583736 0.076838
0.098196 -0.115125 2.619500 0.076833
0.100200 -0.115168 2.655263 0.076846
0.102204 -0.115222 2.691018 0.076867
0.104208 -0.115271 2.726766 0.076887
0.106212 -0.115311 2.762514 0.076904
0.108216 -0.115346 2.798267 0.076903
0.110220 -0.115388 2.834028 0.076916
0.112224 -0.115446 2.869784 0.076933
0.114228 -0.115523 2.905544 0.076963
0.116232 -0.115595 2.941299 0.076992
0.118236 -0.115648 2.977047 0.077007
0.120240 -0.115708 3.012814 0.077011
0.122244 -0.115769 3.048592 0.077018
0.124248 -0.115830 3.084362 0.077026
0.126253 -0.115881 3.120111 0.077046
