Time v_x v_y v_z
0.000000 -0.115806 -0.109079 -0.024357
0.002004 -0.064341 -0.019850 -0.028257
0.004008 -0.084753 0.054835 -0.042214
0.006012 -0.084985 0.075109 -0.057042
0.008016 -0.068913 0.129653 -0.084865
0.010020 -0.063403 0.178733 -0.084984
0.012024 -0.065608 0.237728 -0.074707
0.014028 -0.064374 0.279761 -0.050982
0.016032 -0.022193 0.355632 -0.077729
0.018036 0.019157 0.418680 -0.110837
0.020040 0.006996 0.496257 -0.112238
0.022044 0.019775 0.577163 -0.099620
0.024048 0.039598 0.624637 -0.103449
0.026052 0.027249 0.677343 -0.075831
0.028056 0.050548 0.743398 -0.092250
0.030060 0.067047 0.802721 -0.052981
0.032064 0.059927 0.887034 -0.066323
0.034068 0.078503 0.973563 -0.076778
0.036072 0.060294 1.062149 -0.077449
0.038076 0.058232 1.137765 -0.043298
0.040080 0.035949 1.215492 -0.031222
0.042084 0.027892 1.257727 -0.017099
0.044088 0.065342 1.325136 -0.000528
0.046092 0.067530 1.376100 -0.006068
0.048096 0.052876 1.436980 0.016245
0.050100 0.017217 1.470132 0.033761
0.052104 -0.008264 1.491906 0.039557
0.054108 -0.021428 1.558970 0.057342
0.056112 0.001090 1.610972 0.082222
0.058116 0.002730 1.653368 0.059156
0.060120 -0.008857 1.677461 0.097268
0.062124 0.000861 1.697956 0.101507
0.064128 -0.018473 1.726458 0.067262
0.066132 -0.022912 1.771463 0.033243
0.068136 0.001140 1.786646 0.060508
0.070140 -0.026630 1.814695 0.054196
0.072144 0.001893 1.869328 0.025989
0.074148 0.001609 1.911345 0.051299
0.076152 0.017552 1.967360 0.038118
0.078156 -0.029834 2.023144 0.047484
0.080160 -0.006581 2.065946 0.023210
0.082164 0.005420 2.086056 0.002744
0.084168 0.018835 2.122453 0.025562
0.086172 -0.016372 2.154430 0.029664
0.088176 -0.001045 2.179951 0.022764
0.090180 0.006670 2.202526 -0.020395
0.092184 -0.023614 2.230983 -0.022383
0.094188 -0.081285 2.229709 -0.017062
0.096192 -0.097060 2.292752 -0.020641
0.098196 -0.059261 2.296318 -0.019825
0.100200 -0.079773 2.356880 0.012250
0.102204 -0.103114 2.406290 -0.019975
0.104208 -0.082216 2.442759 0.009788
0.106212 -0.089085 2.471349 -0.010807
0.108216 -0.116963 2.488790 0.009581
0.110220 -0.155890 2.535985 -0.012982
0.112224 -0.151955 2.566966 -0.004214
0.114228 -0.126932 2.636112 0.009349
0.116232 -0.119262 2.683751 0.003486
0.118236 -0.131566 2.712046 -0.015233
0.120240 -0.108504 2.744116 -0.035849
0.122244 -0.121135 2.744642 -0.027462
0.124248 -0.120830 2.752107 -0.046662
0.126253 -0.124798 2.755419 -0.061191
0.128257 -0.136446 2.808403 -0.023440
0.130261 -0.176185 2.849713 -0.004785
0.132265 -0.190005 2.836152 -0.001396
0.134269 -0.183744 2.880340 0.020675
0.136273 -0.172671 2.897261 0.012329
0.138277 -0.170159 2.877837 0.003666
0.140281 -0.189978 2.892413 0.019676
0.142285 -0.173625 2.905874 0.040287
0.144289 -0.150459 2.898508 0.040543
0.146293 -0.169418 2.920180 -0.005132
0.148297 -0.164943 2.968631 0.022356
0.150301 -0.166557 2.976940 0.007778
0.152305 -0.177878 2.993495 0.000638
0.154309 -0.192340 2.987722 -0.021945
0.156313 -0.206735 3.000328 -0.054859
0.158317 -0.202315 3.055534 -0.074977
0.160321 -0.201615 3.078861 -0.067717
0.162325 -0.219024 3.081007 -0.049796
0.164329 -0.209822 3.098976 -0.058296
0.166333 -0.201662 3.091998 -0.034195
0.168337 -0.231541 3.059056 -0.058341
0.170341 -0.217884 3.077720 -0.066535
0.172345 -0.205278 3.120211 -0.049289
0.174349 -0.228833 3.135717 -0.058029
0.176353 -0.243946 3.145838 -0.047608
0.178357 -0.242563 3.130727 -0.044244
0.180361 -0.201172 3.138190 -0.010032
0.182365 -0.161343 3.141178 -0.009970
0.184369 -0.185355 3.182391 0.010433
0.186373 -0.135936 3.190291 -0.009936
0.188377 -0.137079 3.210164 -0.015520
0.190381 -0.138527 3.238444 -0.018536
0.192385 -0.130034 3.291525 -0.038805
0.194389 -0.109845 3.274515 -0.002024
0.196393 -0.106392 3.299509 0.024320
0.198397 -0.118366 3.307589 0.038009
0.200401 -0.123308 3.336941 0.046308
0.202405 -0.129744 3.344593 0.059203
0.204409 -0.131894 3.325555 0.050046
0.206413 -0.182797 3.374327 0.046423
0.208417 -0.239131 3.411028 -0.007389
0.210421 -0.258859 3.408577 0.034758
0.212425 -0.282176 3.438023 0.023400
0.214429 -0.264381 3.468819 0.015111
0.216433 -0.309247 3.481480 0.038560
0.218437 -0.297909 3.505329 0.021797
0.220441 -0.285201 3.559392 0.009337
0.222445 -0.295300 3.556718 -0.003071
0.224449 -0.296971 3.583367 0.015322
0.226453 -0.289299 3.583917 -0.003268
0.228457 -0.302756 3.614731 -0.004211
0.230461 -0.308179 3.661200 -0.026614
0.232465 -0.320858 3.677359 -0.012229
0.234469 -0.310729 3.690166 -0.044100
0.236473 -0.309299 3.664801 -0.056969
0.238477 -0.280563 3.699769 -0.096037
0.240481 -0.307252 3.708656 -0.133523
0.242485 -0.330824 3.778419 -0.125906
0.244489 -0.306647 3.781378 -0.099739
0.246493 -0.307415 3.805359 -0.091481
