Time p_x p_y 
0.000000 0.292375 -0.202758 
0.002004 0.292274 -0.203665 
0.004008 0.292172 -0.225558 
0.006012 0.292060 -0.237665 
0.008016 0.291941 -0.223047 
0.010020 0.291829 -0.200890 
0.012024 0.291729 -0.201645 
0.014028 0.291628 -0.196584 
0.016032 0.291530 -0.213986 
0.018036 0.291423 -0.224813 
0.020040 0.291310 -0.233960 
0.022044 0.291193 -0.222301 
0.024048 0.291082 -0.227901 
0.026052 0.290968 -0.202341 
0.028056 0.290867 -0.225263 
0.030060 0.290754 -0.218564 
0.032064 0.290645 -0.233075 
0.034068 0.290528 -0.232538 
0.036072 0.290412 -0.229887 
0.038076 0.290297 -0.277927 
0.040080 0.290158 -0.282595 
0.042084 0.290017 -0.298107 
0.044088 0.289868 -0.254107 
0.046092 0.289741 -0.230748 
0.048096 0.289626 -0.234502 
0.050100 0.289508 -0.247521 
0.052104 0.289385 -0.252421 
0.054108 0.289258 -0.247092 
0.056112 0.289135 -0.224301 
0.058116 0.289023 -0.226382 
0.060120 0.288909 -0.207676 
0.062124 0.288806 -0.214401 
0.064128 0.288698 -0.188645 
0.066132 0.288604 -0.198692 
0.068136 0.288505 -0.223581 
0.070140 0.288393 -0.198137 
0.072144 0.288294 -0.177357 
0.074148 0.288205 -0.189099 
0.076152 0.288111 -0.202376 
0.078156 0.288009 -0.171569 
0.080160 0.287924 -0.178479 
0.082164 0.287834 -0.174208 
0.084168 0.287747 -0.148399 
0.086172 0.287673 -0.147784 
0.088176 0.287599 -0.169265 
0.090180 0.287515 -0.175478 
0.092184 0.287427 -0.149691 
0.094188 0.287352 -0.165550 
0.096192 0.287269 -0.140142 
0.098196 0.287199 -0.143807 
0.100200 0.287127 -0.165588 
0.102204 0.287044 -0.185659 
0.104208 0.286952 -0.165418 
0.106212 0.286869 -0.158097 
0.108216 0.286790 -0.152158 
0.110220 0.286714 -0.185423 
0.112224 0.286621 -0.158811 
0.114228 0.286542 -0.161859 
0.116232 0.286461 -0.152668 
0.118236 0.286384 -0.122769 
0.120240 0.286323 -0.148934 
0.122244 0.286249 -0.139474 
0.124248 0.286179 -0.169327 
0.126253 0.286094 -0.212432 
0.128257 0.285988 -0.183663 
0.130261 0.285896 -0.182048 
0.132265 0.285805 -0.172506 
0.134269 0.285719 -0.195087 
0.136273 0.285621 -0.187261 
0.138277 0.285528 -0.204987 
0.140281 0.285425 -0.194251 
0.142285 0.285328 -0.213654 
0.144289 0.285221 -0.205347 
0.146293 0.285119 -0.144556 
0.148297 0.285046 -0.126073 
0.150301 0.284983 -0.136698 
0.152305 0.284915 -0.142084 
0.154309 0.284844 -0.176136 
0.156313 0.284756 -0.173794 
0.158317 0.284669 -0.150246 
0.160321 0.284594 -0.124499 
0.162325 0.284531 -0.138848 
0.164329 0.284462 -0.130756 
0.166333 0.284397 -0.124038 
0.168337 0.284335 -0.122922 
0.170341 0.284273 -0.138835 
0.172345 0.284204 -0.155153 
0.174349 0.284126 -0.155173 
0.176353 0.284049 -0.164653 
0.178357 0.283966 -0.174329 
0.180361 0.283879 -0.162536 
0.182365 0.283798 -0.146673 
0.184369 0.283725 -0.148038 
0.186373 0.283651 -0.141214 
0.188377 0.283580 -0.113429 
0.190381 0.283523 -0.126636 
0.192385 0.283460 -0.118483 
0.194389 0.283401 -0.107423 
0.196393 0.283347 -0.113036 
0.198397 0.283290 -0.118439 
0.200401 0.283231 -0.119016 
0.202405 0.283172 -0.136049 
0.204409 0.283104 -0.103247 
