Time p_x p_y 
0.000000 0.024463 0.351617 
0.002004 0.024639 0.362600 
0.004008 0.024820 0.383625 
0.006012 0.025012 0.347648 
0.008016 0.025186 0.390432 
0.010020 0.025381 0.387079 
0.012024 0.025574 0.335937 
0.014028 0.025742 0.298933 
0.016032 0.025892 0.327125 
0.018036 0.026055 0.330863 
0.020040 0.026221 0.329365 
0.022044 0.026386 0.336035 
0.024048 0.026554 0.313915 
0.026052 0.026710 0.321800 
0.028056 0.026871 0.310110 
0.030060 0.027026 0.315685 
0.032064 0.027184 0.351196 
0.034068 0.027360 0.365010 
0.036072 0.027542 0.396090 
0.038076 0.027740 0.422096 
0.040080 0.027951 0.423978 
0.042084 0.028163 0.419800 
0.044088 0.028373 0.435338 
0.046092 0.028591 0.408853 
0.048096 0.028795 0.405601 
0.050100 0.028998 0.417367 
0.052104 0.029207 0.429463 
0.054108 0.029422 0.415494 
0.056112 0.029629 0.420238 
0.058116 0.029840 0.420053 
0.060120 0.030050 0.393837 
0.062124 0.030246 0.373002 
0.064128 0.030433 0.362988 
0.066132 0.030614 0.386568 
0.068136 0.030808 0.402455 
0.070140 0.031009 0.431731 
0.072144 0.031225 0.451062 
0.074148 0.031450 0.458205 
0.076152 0.031679 0.458536 
0.078156 0.031909 0.462762 
0.080160 0.032140 0.491611 
0.082164 0.032386 0.497216 
0.084168 0.032635 0.519711 
0.086172 0.032894 0.518535 
0.088176 0.033154 0.471365 
0.090180 0.033389 0.463915 
0.092184 0.033621 0.466511 
0.094188 0.033855 0.451264 
0.096192 0.034080 0.449853 
0.098196 0.034305 0.415854 
0.100200 0.034513 0.400461 
0.102204 0.034713 0.382238 
0.104208 0.034904 0.376824 
0.106212 0.035093 0.386807 
0.108216 0.035286 0.399160 
0.110220 0.035486 0.422243 
0.112224 0.035697 0.444457 
0.114228 0.035919 0.434363 
0.116232 0.036136 0.468336 
0.118236 0.036371 0.470055 
0.120240 0.036606 0.447586 
0.122244 0.036829 0.426147 
0.124248 0.037042 0.404434 
0.126253 0.037245 0.375348 
0.128257 0.037432 0.404027 
0.130261 0.037634 0.397833 
0.132265 0.037833 0.420161 
0.134269 0.038043 0.408351 
0.136273 0.038247 0.439979 
0.138277 0.038467 0.447403 
0.140281 0.038691 0.425939 
0.142285 0.038904 0.443451 
0.144289 0.039126 0.456614 
0.146293 0.039354 0.421396 
0.148297 0.039565 0.389864 
0.150301 0.039760 0.392665 
0.152305 0.039956 0.376663 
0.154309 0.040144 0.364735 
0.156313 0.040327 0.381540 
0.158317 0.040518 0.387924 
0.160321 0.040712 0.411169 
0.162325 0.040917 0.417473 
0.164329 0.041126 0.449777 
0.166333 0.041351 0.441568 
0.168337 0.041572 0.444398 
0.170341 0.041794 0.442643 
0.172345 0.042015 0.445285 
0.174349 0.042238 0.420548 
0.176353 0.042448 0.435788 
0.178357 0.042666 0.421185 
0.180361 0.042876 0.398255 
0.182365 0.043076 0.455272 
0.184369 0.043303 0.431765 
0.186373 0.043519 0.380108 
0.188377 0.043709 0.373307 
0.190381 0.043896 0.353391 
0.192385 0.044073 0.393572 
0.194389 0.044269 0.404650 
0.196393 0.044472 0.410530 
0.198397 0.044677 0.401185 
0.200401 0.044877 0.399594 
0.202405 0.045077 0.358851 
0.204409 0.045257 0.343887 
0.206413 0.045429 0.368254 
0.208417 0.045613 0.341152 
0.210421 0.045783 0.323521 
0.212425 0.045945 0.334719 
0.214429 0.046112 0.341589 
0.216433 0.046283 0.358868 
0.218437 0.046463 0.379420 
0.220441 0.046652 0.371789 
0.222445 0.046838 0.424594 
0.224449 0.047051 0.421244 
0.226453 0.047261 0.440769 
0.228457 0.047482 0.437453 
0.230461 0.047700 0.442958 
0.232465 0.047922 0.410163 
0.234469 0.048127 0.418205 
0.236473 0.048336 0.411309 
0.238477 0.048542 0.378006 
0.240481 0.048731 0.383983 
0.242485 0.048923 0.331937 
0.244489 0.049089 0.340308 
0.246493 0.049259 0.362816 
0.248497 0.049440 0.348752 
0.250501 0.049615 0.358101 
0.252505 0.049794 0.364966 
0.254509 0.049976 0.349808 
0.256513 0.050151 0.351505 
0.258517 0.050327 0.324770 
0.260521 0.050489 0.339920 
0.262525 0.050659 0.361532 
0.264529 0.050840 0.360644 
0.266533 0.051020 0.348580 
0.268537 0.051194 0.392796 
0.270541 0.051391 0.353908 
0.272545 0.051568 0.385813 
0.274549 0.051761 0.405445 
0.276553 0.051963 0.430390 
0.278557 0.052179 0.459407 
0.280561 0.052408 0.402970 
0.282565 0.052610 0.413240 
0.284569 0.052816 0.413854 
0.286573 0.053023 0.414457 
0.288577 0.053231 0.398003 
0.290581 0.053430 0.361485 
0.292585 0.053610 0.339652 
0.294589 0.053780 0.347771 
0.296593 0.053954 0.348892 
0.298597 0.054129 0.361853 
0.300601 0.054309 0.379116 
0.302605 0.054499 0.354046 
0.304609 0.054676 0.353498 
0.306613 0.054853 0.364575 
0.308617 0.055035 0.345888 
0.310621 0.055208 0.378352 
0.312625 0.055397 0.397774 
0.314629 0.055596 0.389079 
0.316633 0.055791 0.390916 
0.318637 0.055986 0.404575 
0.320641 0.056188 0.389711 
0.322645 0.056383 0.347317 
0.324649 0.056557 0.356721 
0.326653 0.056735 0.358096 
0.328657 0.056914 0.330826 
0.330661 0.057080 0.361147 
0.332665 0.057260 0.372665 
0.334669 0.057447 0.371321 
0.336673 0.057632 0.383854 
0.338677 0.057824 0.385853 
0.340681 0.058017 0.371994 
0.342685 0.058203 0.333475 
0.344689 0.058370 0.323707 
0.346693 0.058532 0.331292 
0.348697 0.058697 0.309087 
0.350701 0.058852 0.286162 
0.352705 0.058995 0.316259 
0.354709 0.059153 0.331333 
0.356713 0.059319 0.347302 
0.358717 0.059492 0.299075 
0.360721 0.059642 0.286593 
0.362725 0.059785 0.313568 
0.364729 0.059942 0.320986 
0.366733 0.060103 0.275099 
0.368737 0.060240 0.294797 
0.370741 0.060387 0.296639 
0.372745 0.060536 0.320019 
0.374749 0.060696 0.280802 
0.376754 0.060836 0.300908 
0.378758 0.060987 0.291206 
0.380762 0.061132 0.300963 
0.382766 0.061283 0.256172 
0.384770 0.061411 0.267891 
0.386774 0.061545 0.214381 
0.388778 0.061652 0.221386 
0.390782 0.061763 0.221393 
0.392786 0.061873 0.222698 
0.394790 0.061985 0.241833 
0.396794 0.062106 0.232716 
0.398798 0.062222 0.223427 
0.400802 0.062334 0.227671 
0.402806 0.062448 0.258727 
0.404810 0.062577 0.248139 
0.406814 0.062701 0.232084 
0.408818 0.062817 0.199661 
0.410822 0.062917 0.235279 
0.412826 0.063034 0.251189 
0.414830 0.063160 0.260436 
0.416834 0.063290 0.292507 
0.418838 0.063437 0.297446 
0.420842 0.063585 0.281995 
0.422846 0.063726 0.273548 
0.424850 0.063863 0.288348 
0.426854 0.064007 0.332134 
0.428858 0.064173 0.347806 
0.430862 0.064347 0.341817 
0.432866 0.064518 0.341528 
0.434870 0.064689 0.350852 
0.436874 0.064864 0.344215 
0.438878 0.065036 0.309486 
0.440882 0.065191 0.292739 
0.442886 0.065337 0.276938 
0.444890 0.065476 0.252722 
0.446894 0.065602 0.240839 
0.448898 0.065723 0.242005 
0.450902 0.065844 0.220200 
0.452906 0.065954 0.213424 
0.454910 0.066061 0.232856 
0.456914 0.066177 0.243964 
0.458918 0.066299 0.253847 
0.460922 0.066426 0.250259 
0.462926 0.066551 0.261347 
0.464930 0.066682 0.245418 
0.466934 0.066804 0.242502 
0.468938 0.066926 0.191444 
0.470942 0.067021 0.198470 
0.472946 0.067121 0.153531 
0.474950 0.067197 0.136613 
0.476954 0.067266 0.165830 
0.478958 0.067349 0.203129 
0.480962 0.067450 0.237998 
0.482966 0.067569 0.213514 
0.484970 0.067676 0.196357 
0.486974 0.067774 0.193191 
0.488978 0.067871 0.194053 
0.490982 0.067968 0.191795 
0.492986 0.068064 0.209081 
0.494990 0.068168 0.209255 
