Time p_x p_y 
0.354709 -0.056660 -0.787979 
0.356713 -0.057054 -0.816004 
0.358717 -0.057462 -0.770077 
0.360721 -0.057847 -0.775453 
0.362725 -0.058235 -0.738473 
0.364729 -0.058604 -0.734137 
0.366733 -0.058971 -0.732417 
0.368737 -0.059337 -0.758408 
0.370741 -0.059717 -0.782063 
0.372745 -0.060108 -0.783293 
0.374749 -0.060499 -0.796877 
0.376754 -0.060898 -0.750291 
0.378758 -0.061273 -0.775504 
0.380762 -0.061661 -0.744050 
0.382766 -0.062033 -0.734221 
0.384770 -0.062400 -0.741518 
0.386774 -0.062771 -0.764324 
0.388778 -0.063153 -0.780716 
0.390782 -0.063543 -0.795551 
0.392786 -0.063941 -0.825401 
0.394790 -0.064354 -0.790959 
0.396794 -0.064749 -0.808839 
0.398798 -0.065153 -0.835719 
0.400802 -0.065571 -0.834995 
0.402806 -0.065989 -0.834203 
0.404810 -0.066406 -0.864795 
0.406814 -0.066838 -0.875056 
0.408818 -0.067276 -0.869265 
0.410822 -0.067711 -0.840146 
0.412826 -0.068131 -0.847662 
0.414830 -0.068554 -0.826711 
0.416834 -0.068968 -0.862583 
0.418838 -0.069399 -0.871332 
0.420842 -0.069835 -0.867149 
0.422846 -0.070268 -0.920893 
0.424850 -0.070729 -0.915522 
0.426854 -0.071187 -0.929123 
0.428858 -0.071651 -0.953633 
0.430862 -0.072128 -0.927001 
0.432866 -0.072591 -0.920077 
0.434870 -0.073051 -0.936583 
0.436874 -0.073520 -0.944478 
0.438878 -0.073992 -0.976367 
0.440882 -0.074480 -0.999565 
0.442886 -0.074980 -0.968677 
0.444890 -0.075464 -0.923485 
0.446894 -0.075926 -0.906188 
0.448898 -0.076379 -0.922352 
0.450902 -0.076840 -0.914353 
0.452906 -0.077297 -0.926173 
0.454910 -0.077761 -0.941619 
0.456914 -0.078231 -0.919202 
0.458918 -0.078691 -0.874318 
0.460922 -0.079128 -0.867862 
0.462926 -0.079562 -0.845597 
0.464930 -0.079985 -0.860884 
0.466934 -0.080415 -0.866594 
0.468938 -0.080849 -0.873887 
0.470942 -0.081286 -0.843947 
0.472946 -0.081707 -0.853684 
0.474950 -0.082134 -0.852887 
0.476954 -0.082561 -0.839102 
0.478958 -0.082980 -0.848453 
0.480962 -0.083405 -0.868942 
0.482966 -0.083839 -0.873608 
0.484970 -0.084276 -0.889384 
0.486974 -0.084721 -0.901271 
0.488978 -0.085171 -0.881451 
0.490982 -0.085612 -0.883681 
0.492986 -0.086054 -0.865058 
0.494990 -0.086486 -0.895262 
0.496994 -0.086934 -0.897182 
0.498998 -0.087382 -0.924723 
0.501002 -0.087845 -0.924757 
0.503006 -0.088307 -0.950750 
0.505010 -0.088783 -0.943294 
0.507014 -0.089254 -0.924469 
0.509018 -0.089716 -0.933769 
0.511022 -0.090183 -0.929831 
0.513026 -0.090648 -0.910408 
0.515030 -0.091103 -0.895517 
0.517034 -0.091551 -0.894240 
0.519038 -0.091998 -0.931030 
0.521042 -0.092464 -0.940822 
0.523046 -0.092934 -0.985104 
0.525050 -0.093427 -0.993243 
0.527054 -0.093923 -0.973280 
0.529058 -0.094410 -0.962447 
0.531062 -0.094891 -0.907950 
0.533066 -0.095345 -0.912040 
0.535070 -0.095801 -0.896000 
0.537074 -0.096249 -0.893353 
0.539078 -0.096696 -0.914102 
0.541082 -0.097153 -0.913188 
0.543086 -0.097610 -0.925723 
0.545090 -0.098072 -0.946129 
0.547094 -0.098546 -0.959394 
0.549098 -0.099025 -0.963663 
0.551102 -0.099507 -0.904337 
0.553106 -0.099959 -0.915962 
0.555110 -0.100417 -0.931230 
0.557114 -0.100883 -0.947211 
0.559118 -0.101356 -0.947038 
0.561122 -0.101830 -0.921176 
0.563126 -0.102291 -0.946941 
0.565130 -0.102764 -1.001633 
0.567134 -0.103265 -1.003345 
0.569138 -0.103767 -0.980864 
0.571142 -0.104257 -1.034659 
0.573146 -0.104774 -1.017223 
0.575150 -0.105283 -0.989061 
0.577154 -0.105777 -0.984975 
0.579158 -0.106270 -1.028607 
0.581162 -0.106784 -1.027968 
0.583166 -0.107298 -1.015161 
0.585170 -0.107806 -0.996374 
0.587174 -0.108304 -0.980340 
0.589178 -0.108794 -0.963768 
0.591182 -0.109276 -0.938432 
0.593186 -0.109745 -0.965064 
0.595190 -0.110228 -0.941766 
0.597194 -0.110699 -0.980894 
0.599198 -0.111189 -0.979534 
0.601202 -0.111679 -0.972062 
0.603206 -0.112165 -0.947402 
0.605210 -0.112639 -0.969124 
0.607214 -0.113123 -0.964902 
0.609218 -0.113606 -0.934894 
0.611222 -0.114073 -0.925944 
0.613226 -0.114536 -0.908905 
0.615230 -0.114990 -0.909476 
0.617234 -0.115445 -0.922651 
0.619238 -0.115907 -0.899995 
0.621242 -0.116357 -0.886320 
0.623246 -0.116800 -0.861854 
0.625251 -0.117231 -0.871876 
0.627255 -0.117667 -0.870528 
0.629259 -0.118102 -0.847021 
0.631263 -0.118525 -0.870717 
0.633267 -0.118961 -0.857941 
0.635271 -0.119390 -0.847235 
0.637275 -0.119813 -0.812406 
0.639279 -0.120219 -0.768290 
0.641283 -0.120604 -0.738914 
0.643287 -0.120973 -0.763984 
0.645291 -0.121355 -0.800480 
0.647295 -0.121755 -0.830384 
0.649299 -0.122171 -0.814079 
0.651303 -0.122578 -0.825827 
0.653307 -0.122990 -0.849700 
0.655311 -0.123415 -0.853810 
0.657315 -0.123842 -0.856048 
0.659319 -0.124270 -0.886402 
0.661323 -0.124713 -0.885749 
0.663327 -0.125156 -0.910026 
0.665331 -0.125611 -0.928614 
0.667335 -0.126076 -0.908331 
0.669339 -0.126530 -0.920209 
0.671343 -0.126990 -0.935739 
0.673347 -0.127458 -0.902110 
0.675351 -0.127909 -0.879046 
0.677355 -0.128348 -0.869241 
0.679359 -0.128783 -0.862188 
0.681363 -0.129214 -0.882405 
0.683367 -0.129655 -0.897564 
0.685371 -0.130104 -0.879928 
0.687375 -0.130544 -0.878508 
0.689379 -0.130983 -0.890536 
0.691383 -0.131429 -0.844163 
0.693387 -0.131851 -0.857280 
0.695391 -0.132279 -0.872155 
0.697395 -0.132715 -0.883152 
0.699399 -0.133157 -0.936441 
0.701403 -0.133625 -0.924676 
0.703407 -0.134087 -0.900971 
0.705411 -0.134538 -0.888903 
0.707415 -0.134982 -0.915716 
0.709419 -0.135440 -0.943478 
0.711423 -0.135912 -0.923921 
0.713427 -0.136374 -0.938144 
0.715431 -0.136843 -0.912280 
0.717435 -0.137299 -0.937589 
