Time u
0.639279 0.200585
0.641283 0.191385
0.643287 0.193359
0.645291 0.197455
0.647295 0.200050
0.649299 0.193603
0.651303 0.192568
0.653307 0.193728
0.655311 0.191149
0.657315 0.188224
0.659319 0.190264
0.661323 0.186761
0.663327 0.187528
0.665331 0.187217
0.667335 0.180417
0.669339 0.178950
0.671343 0.178012
0.673347 0.169339
0.675351 0.162487
0.677355 0.157773
0.679359 0.153534
0.681363 0.153295
0.683367 0.152246
0.685371 0.146566
0.687375 0.143210
0.689379 0.141679
0.691383 0.132438
0.693387 0.131103
0.695391 0.129940
0.697395 0.128238
0.699399 0.131612
0.701403 0.127035
0.703407 0.121151
0.705411 0.116720
0.707415 0.116680
0.709419 0.116633
0.711423 0.111446
0.713427 0.109877
0.715431 0.104192
0.717435 0.103719
0.719439 0.099528
0.721443 0.098585
0.723447 0.096678
0.725451 0.095026
0.727455 0.089528
0.729459 0.085038
0.731463 0.081779
0.733467 0.076560
0.735471 0.075474
0.737475 0.075631
0.739479 0.072019
0.741483 0.069082
0.743487 0.066158
0.745491 0.064805
0.747495 0.060919
0.749499 0.057421
0.751503 0.056586
0.753507 0.053886
0.755511 0.049515
0.757515 0.046961
0.759519 0.041735
0.761523 0.039086
0.763527 0.036840
0.765531 0.035786
0.767535 0.033201
0.769539 0.030015
0.771543 0.025547
0.773547 0.023950
0.775551 0.021729
0.777555 0.019242
0.779559 0.016545
0.781563 0.013806
0.783567 0.010233
0.785571 0.007395
0.787575 0.005606
0.789579 0.001590
0.791583 -0.000147
0.793587 -0.002570
0.795591 -0.005653
0.797595 -0.008674
0.799599 -0.010048
0.801603 -0.011944
0.803607 -0.013506
0.805611 -0.015425
0.807615 -0.017328
0.809619 -0.018698
0.811623 -0.020854
0.813627 -0.022992
0.815631 -0.024848
0.817635 -0.026603
0.819639 -0.028402
0.821643 -0.029576
0.823647 -0.031157
0.825651 -0.032849
0.827655 -0.034850
0.829659 -0.036845
0.831663 -0.038663
0.833667 -0.040696
0.835671 -0.042623
0.837675 -0.044632
0.839679 -0.046444
0.841683 -0.048261
0.843687 -0.050128
0.845691 -0.051887
0.847695 -0.053738
0.849699 -0.055381
0.851703 -0.057114
0.853707 -0.058775
0.855711 -0.060457
0.857715 -0.062053
0.859719 -0.063711
0.861723 -0.065252
0.863727 -0.066860
0.865731 -0.068485
0.867735 -0.070048
0.869739 -0.071575
0.871743 -0.073102
0.873747 -0.074622
0.875752 -0.076137
0.877756 -0.077605
0.879760 -0.079006
0.881764 -0.080444
0.883768 -0.081863
0.885772 -0.083273
0.887776 -0.084595
0.889780 -0.085972
0.891784 -0.087303
0.893788 -0.088689
0.895792 -0.089969
0.897796 -0.091339
0.899800 -0.092605
0.901804 -0.093928
0.903808 -0.095030
0.905812 -0.096252
0.907816 -0.097507
0.909820 -0.098721
0.911824 -0.099865
0.913828 -0.101039
0.915832 -0.102239
0.917836 -0.103368
0.919840 -0.104500
0.921844 -0.105621
0.923848 -0.106722
0.925852 -0.107809
0.927856 -0.108861
0.929860 -0.109960
0.931864 -0.111046
0.933868 -0.112015
0.935872 -0.113043
0.937876 -0.114099
0.939880 -0.115025
0.941884 -0.116036
0.943888 -0.116982
0.945892 -0.117901
0.947896 -0.118686
0.949900 -0.119799
0.951904 -0.120784
0.953908 -0.121669
0.955912 -0.122588
0.957916 -0.123766
0.959920 -0.124579
0.961924 -0.125254
0.963928 -0.126195
0.965932 -0.127283
0.967936 -0.127981
0.969940 -0.128352
0.971944 -0.128512
0.973948 -0.128818
0.975952 -0.130137
0.977956 -0.131268
0.979960 -0.131456
0.981964 -0.132048
0.983968 -0.132865
0.985972 -0.133173
0.987976 -0.133982
0.989980 -0.134190
0.991984 -0.134115
0.993988 -0.134069
0.995992 -0.134994
0.997996 -0.135218
1.000000 -0.135441
