Time u
0.000000 -0.626330
0.002004 -0.643752
0.004008 -0.677760
0.006012 -0.617283
0.008016 -0.687129
0.010020 -0.680646
0.012024 -0.595528
0.014028 -0.533917
0.016032 -0.579375
0.018036 -0.584661
0.020040 -0.581370
0.022044 -0.591389
0.024048 -0.554554
0.026052 -0.566524
0.028056 -0.546748
0.030060 -0.554928
0.032064 -0.611328
0.034068 -0.632601
0.036072 -0.681498
0.038076 -0.722068
0.040080 -0.723913
0.042084 -0.716074
0.044088 -0.739623
0.046092 -0.696354
0.048096 -0.690042
0.050100 -0.707475
0.052104 -0.725343
0.054108 -0.702126
0.056112 -0.708355
0.058116 -0.706828
0.060120 -0.664635
0.062124 -0.630992
0.064128 -0.614301
0.066132 -0.649760
0.068136 -0.673152
0.070140 -0.717088
0.072144 -0.745508
0.074148 -0.755073
0.076152 -0.754147
0.078156 -0.759158
0.080160 -0.801649
0.082164 -0.808602
0.084168 -0.841108
0.086172 -0.837654
0.088176 -0.764838
0.090180 -0.752089
0.092184 -0.754453
0.094188 -0.730094
0.096192 -0.726480
0.098196 -0.674378
0.100200 -0.650124
0.102204 -0.621787
0.104208 -0.612479
0.106212 -0.625858
0.108216 -0.642633
0.110220 -0.675006
0.112224 -0.705928
0.114228 -0.689671
0.116232 -0.737405
0.118236 -0.738218
0.120240 -0.704126
0.122244 -0.671679
0.124248 -0.638997
0.126253 -0.595938
0.128257 -0.635409
0.130261 -0.625106
0.132265 -0.655237
0.134269 -0.636984
0.136273 -0.679954
0.138277 -0.688704
0.140281 -0.656978
0.142285 -0.679760
0.144289 -0.696346
0.146293 -0.645791
0.148297 -0.600606
0.150301 -0.602925
0.152305 -0.579418
0.154309 -0.561606
0.156313 -0.583042
0.158317 -0.590175
0.160321 -0.620071
0.162325 -0.626909
0.164329 -0.668642
0.166333 -0.655812
0.168337 -0.657784
0.170341 -0.653621
0.172345 -0.655294
0.174349 -0.620763
0.176353 -0.639066
0.178357 -0.618081
0.180361 -0.586332
0.182365 -0.658888
0.184369 -0.626456
0.186373 -0.557828
