Time u
0.000000 0.053602
0.002004 0.018459
0.004008 0.085943
0.006012 0.133896
0.008016 0.111887
0.010020 0.117119
0.012024 0.117521
0.014028 0.175639
0.016032 0.170181
0.018036 0.162729
0.020040 0.138712
0.022044 0.191581
0.024048 0.153584
0.026052 0.191277
0.028056 0.188173
0.030060 0.132596
0.032064 0.083894
0.034068 0.069271
0.036072 0.030530
0.038076 0.071277
0.040080 0.041195
0.042084 0.008058
0.044088 0.044195
0.046092 0.038691
0.048096 -0.063097
0.050100 -0.097380
0.052104 -0.141477
0.054108 -0.162923
0.056112 -0.122332
0.058116 -0.055997
0.060120 -0.053511
0.062124 -0.018441
0.064128 0.031355
0.066132 0.035615
0.068136 0.020114
0.070140 -0.058141
0.072144 -0.042629
0.074148 -0.046083
0.076152 -0.135740
0.078156 -0.100401
0.080160 -0.109211
0.082164 -0.100311
0.084168 -0.145155
0.086172 -0.148988
0.088176 -0.191904
0.090180 -0.205672
0.092184 -0.230971
0.094188 -0.174829
0.096192 -0.150319
0.098196 -0.106325
0.100200 -0.056328
0.102204 -0.086789
0.104208 -0.121444
0.106212 -0.117042
0.108216 -0.084665
0.110220 -0.119050
0.112224 -0.178687
0.114228 -0.201494
0.116232 -0.174679
0.118236 -0.160079
0.120240 -0.182729
0.122244 -0.184630
0.124248 -0.217425
0.126253 -0.185829
0.128257 -0.234657
0.130261 -0.225235
0.132265 -0.202459
0.134269 -0.165184
0.136273 -0.192053
0.138277 -0.181352
0.140281 -0.172654
0.142285 -0.160794
0.144289 -0.128422
0.146293 -0.106523
0.148297 -0.102958
0.150301 -0.169851
0.152305 -0.158194
0.154309 -0.182546
0.156313 -0.153687
0.158317 -0.180147
0.160321 -0.207115
0.162325 -0.228449
0.164329 -0.239291
0.166333 -0.184239
0.168337 -0.179831
0.170341 -0.197555
0.172345 -0.143679
0.174349 -0.131258
0.176353 -0.166507
0.178357 -0.167362
0.180361 -0.206861
0.182365 -0.196718
0.184369 -0.232399
0.186373 -0.236624
0.188377 -0.255742
0.190381 -0.213881
0.192385 -0.171247
0.194389 -0.184973
0.196393 -0.174558
0.198397 -0.122773
0.200401 -0.110012
0.202405 -0.100083
0.204409 -0.076282
0.206413 -0.041758
0.208417 -0.048208
0.210421 -0.057749
0.212425 -0.035921
0.214429 -0.072495
0.216433 -0.059374
0.218437 -0.005798
0.220441 -0.006860
0.222445 -0.029216
0.224449 0.021347
0.226453 -0.029365
0.228457 -0.021973
0.230461 -0.000545
0.232465 -0.008489
0.234469 0.005256
0.236473 -0.020065
0.238477 -0.055014
0.240481 -0.066574
0.242485 -0.066601
0.244489 -0.022999
0.246493 -0.003815
0.248497 -0.004810
0.250501 0.045415
0.252505 0.071355
0.254509 0.066824
0.256513 0.096875
0.258517 0.115179
0.260521 0.106738
0.262525 0.101127
0.264529 0.097300
0.266533 0.036777
0.268537 0.019856
0.270541 0.035758
0.272545 0.033976
0.274549 0.005566
0.276553 -0.038028
0.278557 -0.054529
0.280561 -0.036337
0.282565 -0.052704
0.284569 -0.066168
0.286573 -0.078495
0.288577 -0.077301
0.290581 -0.072336
0.292585 -0.074628
0.294589 -0.061042
0.296593 -0.074636
0.298597 -0.073544
0.300601 -0.103463
0.302605 -0.119994
0.304609 -0.124823
0.306613 -0.153988
0.308617 -0.172670
0.310621 -0.179610
0.312625 -0.159310
0.314629 -0.187663
0.316633 -0.184367
0.318637 -0.176286
0.320641 -0.176391
0.322645 -0.198410
0.324649 -0.200231
0.326653 -0.175813
0.328657 -0.169423
0.330661 -0.152251
0.332665 -0.146231
0.334669 -0.120287
0.336673 -0.127229
0.338677 -0.119957
0.340681 -0.101958
0.342685 -0.090192
0.344689 -0.115229
0.346693 -0.091431
0.348697 -0.100801
0.350701 -0.103887
0.352705 -0.080597
0.354709 -0.081276
0.356713 -0.063515
0.358717 -0.079373
0.360721 -0.089667
0.362725 -0.087312
0.364729 -0.068749
0.366733 -0.059091
0.368737 -0.049949
0.370741 -0.056315
0.372745 -0.078931
0.374749 -0.092471
0.376754 -0.084289
0.378758 -0.050644
0.380762 -0.037688
0.382766 -0.043990
0.384770 -0.025576
0.386774 -0.025674
0.388778 -0.051163
0.390782 -0.078917
0.392786 -0.081723
0.394790 -0.111311
0.396794 -0.120435
