Time u_x u_y u_z
0.000000 0.521919 0.009208 0.110116
0.002004 0.494896 -0.013481 0.145725
0.004008 0.471283 0.041563 0.135983
0.006012 0.428566 0.035395 0.148002
0.008016 0.428312 0.020420 0.179541
0.010020 0.433703 0.018178 0.205006
0.012024 0.459749 0.053827 0.207829
0.014028 0.431739 -0.010044 0.186919
0.016032 0.456642 -0.017621 0.146994
0.018036 0.464570 -0.066337 0.177972
0.020040 0.409627 -0.054558 0.203415
0.022044 0.369514 -0.014134 0.250948
0.024048 0.412535 -0.030099 0.231480
0.026052 0.354998 -0.072910 0.236656
0.028056 0.348011 -0.072787 0.246254
0.030060 0.424068 -0.008190 0.297991
0.032064 0.397311 0.029485 0.277570
0.034068 0.377848 0.009803 0.260917
0.036072 0.291586 -0.074858 0.291221
0.038076 0.238487 -0.112105 0.281509
0.040080 0.210511 -0.155860 0.287324
0.042084 0.134344 -0.128189 0.298405
0.044088 0.138163 -0.087410 0.286800
0.046092 0.157589 -0.095693 0.291409
0.048096 0.160654 -0.095543 0.324475
0.050100 0.151784 -0.061264 0.341366
0.052104 0.134668 -0.040621 0.280184
0.054108 0.156015 -0.071824 0.312685
0.056112 0.163310 -0.098834 0.310776
0.058116 0.166101 -0.083071 0.307017
0.060120 0.196423 -0.106691 0.344349
0.062124 0.153912 -0.122955 0.335218
0.064128 0.168572 -0.106827 0.342301
0.066132 0.175107 -0.050389 0.348674
0.068136 0.144118 -0.069631 0.348654
0.070140 0.154508 -0.065010 0.371353
0.072144 0.159703 -0.092584 0.374604
0.074148 0.183769 -0.091679 0.343115
0.076152 0.119727 -0.124373 0.314679
0.078156 0.150542 -0.149741 0.320490
0.080160 0.206673 -0.108520 0.378106
0.082164 0.221945 -0.109348 0.370607
0.084168 0.223698 -0.104371 0.396987
0.086172 0.211031 -0.176726 0.405587
0.088176 0.125248 -0.131343 0.434091
0.090180 0.140501 -0.129893 0.440221
0.092184 0.211786 -0.126615 0.445653
0.094188 0.206391 -0.067608 0.414875
0.096192 0.174268 -0.050202 0.436804
0.098196 0.119159 -0.036405 0.442230
0.100200 0.101410 -0.043759 0.448213
0.102204 0.084947 0.004106 0.441994
0.104208 0.120838 -0.007698 0.425337
0.106212 0.094733 0.015696 0.456658
0.108216 0.066499 0.026009 0.448063
0.110220 0.101152 0.043865 0.453699
0.112224 0.137890 0.041787 0.467393
0.114228 0.129446 0.040492 0.520896
0.116232 0.130211 0.104662 0.499358
0.118236 0.095313 0.115856 0.523472
0.120240 0.093653 0.107670 0.549189
