Time u_x u_y u_z
0.000000 0.112706 -0.270478 0.055385
0.002004 0.145734 -0.227702 0.095082
0.004008 0.160030 -0.250231 0.090024
0.006012 0.183058 -0.224610 0.122128
0.008016 0.147937 -0.311313 0.148273
0.010020 0.173294 -0.290483 0.180549
0.012024 0.118342 -0.363237 0.142765
0.014028 0.168944 -0.403382 0.119531
0.016032 0.157933 -0.401936 0.107015
0.018036 0.211511 -0.421390 0.055912
0.020040 0.175141 -0.390330 0.057337
0.022044 0.118502 -0.382781 0.072407
0.024048 0.186860 -0.375774 0.056441
0.026052 0.164791 -0.337571 0.051361
0.028056 0.142705 -0.339139 0.051357
0.030060 0.109072 -0.344424 0.042821
0.032064 0.125675 -0.335868 0.018635
0.034068 0.157764 -0.330195 -0.001265
0.036072 0.179742 -0.347685 -0.037012
0.038076 0.190089 -0.391500 -0.032771
0.040080 0.208476 -0.389827 0.001822
0.042084 0.208524 -0.503387 -0.049689
0.044088 0.179246 -0.400730 -0.036164
0.046092 0.163570 -0.402224 -0.078065
0.048096 0.117121 -0.412688 -0.058739
0.050100 0.128415 -0.387580 -0.086996
0.052104 0.179736 -0.360111 -0.128153
0.054108 0.187642 -0.369168 -0.098365
0.056112 0.234517 -0.457727 -0.130807
0.058116 0.202222 -0.504661 -0.120099
0.060120 0.186354 -0.541351 -0.128691
0.062124 0.158619 -0.519150 -0.126673
0.064128 0.198171 -0.474131 -0.112691
0.066132 0.156309 -0.508007 -0.111818
0.068136 0.198536 -0.494648 -0.146797
0.070140 0.171967 -0.524901 -0.140302
0.072144 0.183339 -0.424158 -0.140699
0.074148 0.181233 -0.438088 -0.142691
0.076152 0.163354 -0.421218 -0.103126
0.078156 0.154744 -0.411080 -0.090780
0.080160 0.179191 -0.391443 -0.105898
0.082164 0.194294 -0.395083 -0.087451
0.084168 0.220101 -0.343233 -0.099285
0.086172 0.224274 -0.325511 -0.099051
0.088176 0.178067 -0.304968 -0.103775
0.090180 0.216723 -0.263663 -0.123388
0.092184 0.179468 -0.244554 -0.085665
0.094188 0.140371 -0.266883 -0.081065
0.096192 0.172144 -0.319320 -0.140743
0.098196 0.169599 -0.320136 -0.179235
0.100200 0.202219 -0.295951 -0.196922
0.102204 0.191240 -0.275731 -0.193814
0.104208 0.166364 -0.276832 -0.185870
0.106212 0.145016 -0.287200 -0.143206
0.108216 0.166128 -0.314177 -0.178521
0.110220 0.211946 -0.291965 -0.187766
0.112224 0.270189 -0.304884 -0.220674
0.114228 0.253694 -0.288488 -0.218175
0.116232 0.198855 -0.270864 -0.180069
0.118236 0.214074 -0.322225 -0.162094
0.120240 0.215753 -0.354337 -0.168810
0.122244 0.216088 -0.329424 -0.169027
0.124248 0.192153 -0.274790 -0.189944
0.126253 0.152554 -0.310185 -0.172094
0.128257 0.141596 -0.336251 -0.185648
0.130261 0.147487 -0.381889 -0.211135
0.132265 0.110844 -0.366506 -0.213063
0.134269 0.136964 -0.362718 -0.198571
0.136273 0.166639 -0.362312 -0.194262
0.138277 0.173250 -0.387517 -0.211909
0.140281 0.222609 -0.341746 -0.191899
0.142285 0.190007 -0.341885 -0.204507
0.144289 0.136000 -0.329632 -0.216084
0.146293 0.163591 -0.301581 -0.249039
0.148297 0.161769 -0.320790 -0.220133
0.150301 0.207638 -0.300228 -0.204680
0.152305 0.146650 -0.288005 -0.229015
0.154309 0.151748 -0.286257 -0.236476
0.156313 0.129285 -0.287226 -0.212971
0.158317 0.130883 -0.260657 -0.214638
0.160321 0.183604 -0.301016 -0.219993
0.162325 0.151142 -0.327964 -0.207942
0.164329 0.125796 -0.333155 -0.165431
0.166333 0.122195 -0.371407 -0.179320
0.168337 0.118235 -0.371562 -0.175592
0.170341 0.156292 -0.412090 -0.217205
0.172345 0.143191 -0.415774 -0.195418
0.174349 0.183435 -0.392927 -0.182493
0.176353 0.166030 -0.422963 -0.134367
0.178357 0.146382 -0.369589 -0.139804
0.180361 0.175441 -0.348283 -0.130598
0.182365 0.219277 -0.341137 -0.111330
0.184369 0.227448 -0.368154 -0.111124
0.186373 0.206143 -0.344521 -0.085266
0.188377 0.200503 -0.361448 -0.092395
0.190381 0.192085 -0.398928 -0.113196
0.192385 0.171134 -0.426195 -0.114906
0.194389 0.191994 -0.402007 -0.116531
0.196393 0.166550 -0.382574 -0.133416
0.198397 0.171049 -0.464563 -0.122988
0.200401 0.139723 -0.492039 -0.101926
0.202405 0.153053 -0.540209 -0.147495
0.204409 0.123963 -0.531210 -0.093646
0.206413 0.145602 -0.554574 -0.093239
0.208417 0.127567 -0.551828 -0.106533
0.210421 0.144910 -0.544551 -0.096183
0.212425 0.118714 -0.562119 -0.071601
0.214429 0.153558 -0.563801 -0.074313
0.216433 0.123758 -0.575487 -0.080306
0.218437 0.202165 -0.593652 -0.085897
0.220441 0.191947 -0.625194 -0.082148
0.222445 0.171012 -0.584982 -0.077081
0.224449 0.212728 -0.588624 -0.075947
0.226453 0.178060 -0.606799 -0.047700
0.228457 0.180246 -0.607965 -0.065788
0.230461 0.176910 -0.587432 -0.077793
0.232465 0.194501 -0.592687 -0.075324
0.234469 0.225781 -0.617003 -0.071902
0.236473 0.263023 -0.630693 -0.069110
0.238477 0.255060 -0.652237 -0.087472
0.240481 0.269955 -0.648088 -0.085464
0.242485 0.284888 -0.659348 -0.111927
0.244489 0.244030 -0.699387 -0.100321
0.246493 0.254469 -0.704603 -0.107064
0.248497 0.261428 -0.710373 -0.095693
0.250501 0.171610 -0.695728 -0.071914
0.252505 0.166259 -0.719035 -0.026072
0.254509 0.126040 -0.699413 -0.000206
0.256513 0.154077 -0.702893 -0.005384
0.258517 0.168105 -0.726000 -0.038370
0.260521 0.185951 -0.756992 -0.018175
0.262525 0.202650 -0.707731 -0.063595
0.264529 0.235313 -0.719156 -0.084406
0.266533 0.203579 -0.729058 -0.067522
0.268537 0.224439 -0.742561 -0.074086
0.270541 0.214675 -0.729978 -0.086138
0.272545 0.198964 -0.746229 -0.038641
0.274549 0.169384 -0.719240 -0.052889
0.276553 0.138230 -0.674602 -0.053813
0.278557 0.159153 -0.710649 -0.067105
0.280561 0.128516 -0.692519 -0.041027
0.282565 0.146794 -0.712690 -0.038803
0.284569 0.175672 -0.691336 -0.050927
0.286573 0.217696 -0.732324 -0.058062
0.288577 0.205941 -0.737045 -0.044457
0.290581 0.222012 -0.712003 -0.071474
0.292585 0.218109 -0.759741 -0.067222
0.294589 0.178543 -0.756567 -0.089994
0.296593 0.165028 -0.714818 -0.032031
0.298597 0.135511 -0.672818 0.008236
0.300601 0.135607 -0.685668 -0.022845
0.302605 0.115899 -0.703484 -0.003447
0.304609 0.113415 -0.690262 0.006895
0.306613 0.134878 -0.680570 0.006010
0.308617 0.163792 -0.687337 -0.002085
0.310621 0.186795 -0.706264 -0.031999
0.312625 0.208452 -0.718374 -0.023927
0.314629 0.206029 -0.724002 0.003929
0.316633 0.206595 -0.698134 -0.004376
0.318637 0.219041 -0.668926 -0.009421
0.320641 0.260378 -0.645132 -0.031600
0.322645 0.260091 -0.621523 -0.051906
0.324649 0.243538 -0.582189 -0.070812
0.326653 0.263264 -0.581971 -0.087374
0.328657 0.265666 -0.596455 -0.078987
0.330661 0.267983 -0.613958 -0.071846
0.332665 0.260836 -0.614040 -0.071377
0.334669 0.271867 -0.616967 -0.035240
0.336673 0.273056 -0.620110 -0.040636
0.338677 0.304908 -0.647801 -0.044886
0.340681 0.322462 -0.668297 -0.040208
0.342685 0.347285 -0.661938 -0.083545
0.344689 0.363523 -0.664353 -0.105867
0.346693 0.365851 -0.683387 -0.099777
0.348697 0.354829 -0.678482 -0.074149
0.350701 0.378725 -0.692063 -0.083524
0.352705 0.369025 -0.677386 -0.107010
0.354709 0.377209 -0.671253 -0.103844
0.356713 0.394722 -0.684284 -0.100547
0.358717 0.417336 -0.660368 -0.137733
0.360721 0.391464 -0.630037 -0.136483
0.362725 0.394343 -0.596268 -0.172462
0.364729 0.368334 -0.573761 -0.174317
0.366733 0.371111 -0.598131 -0.165526
0.368737 0.378592 -0.584489 -0.192092
0.370741 0.391029 -0.567385 -0.210950
0.372745 0.365454 -0.536047 -0.204514
0.374749 0.364832 -0.516869 -0.207645
0.376754 0.343758 -0.491863 -0.230321
0.378758 0.398291 -0.518026 -0.255429
0.380762 0.359589 -0.505432 -0.244826
0.382766 0.383769 -0.510726 -0.259170
0.384770 0.382248 -0.527286 -0.247143
0.386774 0.370452 -0.533921 -0.233265
0.388778 0.379019 -0.561833 -0.215383
0.390782 0.364164 -0.542226 -0.227642
0.392786 0.356514 -0.520218 -0.246141
0.394790 0.350451 -0.518418 -0.227149
0.396794 0.363077 -0.533752 -0.211379
