Time u_x u_y u_z
0.000000 0.611472 0.254409 -0.197669
0.002004 0.629049 0.250869 -0.197673
0.004008 0.585444 0.236602 -0.205371
0.006012 0.604390 0.182356 -0.206089
0.008016 0.652088 0.234226 -0.186492
0.010020 0.675391 0.198306 -0.187617
0.012024 0.689675 0.163880 -0.190348
0.014028 0.602764 0.076779 -0.252607
0.016032 0.596926 0.049153 -0.260332
0.018036 0.647347 0.033807 -0.325225
0.020040 0.639853 -0.018868 -0.342415
0.022044 0.594182 -0.047261 -0.336752
0.024048 0.568495 -0.087014 -0.324364
0.026052 0.501694 -0.077898 -0.342840
0.028056 0.502152 -0.033063 -0.327604
0.030060 0.469226 -0.062863 -0.337549
0.032064 0.463580 -0.014118 -0.338059
0.034068 0.483373 0.030756 -0.315394
0.036072 0.460229 -0.017534 -0.332049
0.038076 0.439784 -0.010258 -0.391239
0.040080 0.436512 -0.024975 -0.440052
0.042084 0.459240 -0.059993 -0.435728
0.044088 0.513732 -0.138779 -0.467579
0.046092 0.535618 -0.100894 -0.495071
0.048096 0.543271 -0.112733 -0.496060
0.050100 0.478446 -0.131218 -0.519938
0.052104 0.522165 -0.155280 -0.523600
0.054108 0.510927 -0.153567 -0.521557
0.056112 0.475009 -0.173605 -0.535488
0.058116 0.446177 -0.144598 -0.546657
0.060120 0.422780 -0.160650 -0.563410
0.062124 0.430043 -0.147353 -0.536012
0.064128 0.424715 -0.152860 -0.541349
0.066132 0.414997 -0.158231 -0.533456
0.068136 0.399906 -0.186657 -0.502685
0.070140 0.390944 -0.135918 -0.461339
0.072144 0.409512 -0.130890 -0.462940
0.074148 0.394428 -0.088430 -0.502615
0.076152 0.386468 -0.083717 -0.472387
0.078156 0.370623 -0.085933 -0.493337
0.080160 0.346234 -0.058987 -0.451917
0.082164 0.372013 -0.082494 -0.430827
0.084168 0.353251 -0.071533 -0.479283
0.086172 0.410730 -0.047978 -0.514210
0.088176 0.415990 -0.028752 -0.563802
0.090180 0.407019 0.014959 -0.545150
0.092184 0.440661 0.037005 -0.563433
0.094188 0.412254 0.000765 -0.605657
0.096192 0.428410 0.041835 -0.567865
0.098196 0.397346 0.006507 -0.550404
0.100200 0.338623 0.001095 -0.492618
