Time u_x u_y u_z
0.000000 0.434954 0.529494 0.257414
0.002004 0.348347 0.485095 0.260241
0.004008 0.378732 0.480486 0.275319
0.006012 0.387852 0.560092 0.300154
0.008016 0.363777 0.582651 0.336152
0.010020 0.358427 0.611957 0.338757
0.012024 0.363653 0.625196 0.326983
0.014028 0.367243 0.663105 0.301479
0.016032 0.298057 0.645855 0.333852
0.018036 0.232540 0.650277 0.375646
0.020040 0.249385 0.637167 0.374952
0.022044 0.227230 0.612148 0.357995
0.024048 0.199727 0.641463 0.365705
0.026052 0.222702 0.664107 0.333579
0.028056 0.185866 0.664807 0.354005
0.030060 0.163460 0.670137 0.308516
0.032064 0.170685 0.647068 0.321490
0.034068 0.138010 0.615582 0.331979
0.036072 0.162193 0.586219 0.328800
0.038076 0.165577 0.570154 0.286847
0.040080 0.198503 0.557105 0.269814
0.042084 0.215775 0.596954 0.255449
0.044088 0.159387 0.589340 0.237649
0.046092 0.153013 0.565408 0.242106
0.048096 0.172207 0.525674 0.211831
0.050100 0.227544 0.533140 0.189255
0.052104 0.268451 0.557818 0.182232
0.054108 0.284042 0.509024 0.156879
0.056112 0.248784 0.477222 0.127256
0.058116 0.243636 0.468883 0.153188
0.060120 0.265019 0.484170 0.109306
0.062124 0.252861 0.505249 0.106421
0.064128 0.280312 0.522376 0.145156
0.066132 0.282912 0.511858 0.182747
0.068136 0.251698 0.536357 0.154745
0.070140 0.293198 0.552168 0.160460
0.072144 0.245899 0.521565 0.192525
0.074148 0.246889 0.509183 0.162638
0.076152 0.219311 0.477106 0.176592
0.078156 0.286519 0.452179 0.160283
0.080160 0.249312 0.440122 0.188588
0.082164 0.231973 0.463230 0.213661
0.084168 0.213765 0.458009 0.188477
0.086172 0.265445 0.467355 0.181032
0.088176 0.243572 0.480594 0.190456
0.090180 0.230159 0.502013 0.240121
0.092184 0.274118 0.515989 0.239894
0.094188 0.361456 0.576364 0.231383
0.096192 0.379730 0.537392 0.231312
0.098196 0.328654 0.579138 0.235342
0.100200 0.357117 0.541929 0.195537
0.102204 0.385190 0.525952 0.227577
0.104208 0.357258 0.519600 0.195868
0.106212 0.365125 0.531179 0.217799
0.108216 0.407496 0.558343 0.193324
0.110220 0.458089 0.546210 0.213033
0.112224 0.452805 0.550983 0.203339
0.114228 0.414648 0.498609 0.188238
0.116232 0.401280 0.480179 0.194045
0.118236 0.416396 0.492043 0.212937
0.120240 0.381667 0.495159 0.237061
0.122244 0.402261 0.544776 0.227768
0.124248 0.401329 0.584490 0.249105
0.126253 0.406950 0.629918 0.264978
0.128257 0.424197 0.603440 0.221469
0.130261 0.477205 0.567199 0.195246
0.132265 0.497402 0.606334 0.190470
0.134269 0.487601 0.562407 0.165541
0.136273 0.470193 0.557482 0.174734
0.138277 0.467028 0.603563 0.184608
0.140281 0.494214 0.603112 0.164555
0.142285 0.473207 0.601556 0.143795
0.144289 0.442249 0.628881 0.146010
0.146293 0.460556 0.620336 0.190776
0.148297 0.454307 0.571704 0.160637
0.150301 0.453760 0.579412 0.175000
0.152305 0.466415 0.576190 0.180163
0.154309 0.482444 0.603545 0.201415
0.156313 0.495921 0.606011 0.232839
0.158317 0.484003 0.549950 0.252408
0.160321 0.481973 0.536562 0.243760
0.162325 0.505866 0.552156 0.222196
0.164329 0.491014 0.545789 0.230974
0.166333 0.482691 0.572236 0.206412
0.168337 0.518221 0.634608 0.226514
0.170341 0.497527 0.626907 0.235390
0.172345 0.480876 0.587966 0.218173
0.174349 0.508053 0.585689 0.222767
0.176353 0.526959 0.590065 0.208997
0.178357 0.524421 0.626689 0.204507
0.180361 0.474829 0.633184 0.174422
0.182365 0.422958 0.645501 0.178620
0.184369 0.453825 0.610005 0.153956
0.186373 0.387389 0.615896 0.180086
0.188377 0.386352 0.607340 0.184482
0.190381 0.385982 0.588148 0.186387
0.192385 0.370709 0.537328 0.207247
0.194389 0.349638 0.576149 0.172176
0.196393 0.347725 0.561962 0.145909
0.198397 0.362970 0.568816 0.129614
0.200401 0.368815 0.548982 0.120172
0.202405 0.377047 0.556325 0.105525
0.204409 0.376418 0.596056 0.112311
0.206413 0.436234 0.551415 0.108164
