Time u_x u_y u_z
0.284569 -0.122840 0.333440 -0.026460
0.286573 -0.119510 0.295921 -0.038720
0.288577 -0.102801 0.291210 -0.019101
0.290581 -0.079490 0.265155 -0.018125
0.292585 -0.083570 0.286897 -0.034297
0.294589 -0.074659 0.291853 -0.027872
0.296593 -0.048562 0.293094 -0.041935
0.298597 -0.048875 0.294101 -0.036348
0.300601 -0.040011 0.303395 -0.048984
0.302605 0.017033 0.291876 -0.052323
0.304609 0.051301 0.285841 -0.086522
0.306613 0.070993 0.298077 -0.095605
0.308617 0.121717 0.254282 -0.073703
0.310621 0.122859 0.240614 -0.115534
0.312625 0.089345 0.224153 -0.118806
0.314629 0.089592 0.234015 -0.114538
0.316633 0.068470 0.226842 -0.070076
0.318637 0.060624 0.247969 -0.079103
0.320641 0.102673 0.220980 -0.076153
0.322645 0.079842 0.222864 -0.065131
0.324649 0.032042 0.259466 -0.034613
0.326653 0.018819 0.293861 -0.018356
0.328657 0.036512 0.305840 -0.028913
0.330661 0.030707 0.300394 -0.015481
0.332665 0.007356 0.281057 0.001171
0.334669 0.020082 0.271368 -0.034751
0.336673 0.011893 0.283040 -0.029836
0.338677 0.010029 0.318406 -0.045398
0.340681 -0.001986 0.323796 -0.054235
0.342685 -0.035674 0.331180 -0.041345
0.344689 -0.042751 0.302622 -0.034413
0.346693 -0.061684 0.297353 -0.036220
0.348697 -0.013272 0.272195 -0.021360
0.350701 -0.021768 0.287321 -0.031264
0.352705 -0.000343 0.260114 -0.025480
0.354709 -0.032515 0.262586 -0.010099
0.356713 -0.027617 0.271454 -0.027641
0.358717 -0.050462 0.289634 -0.053833
0.360721 -0.036962 0.264748 -0.041848
0.362725 -0.035710 0.275197 -0.060595
0.364729 -0.071047 0.294759 -0.074931
0.366733 -0.066652 0.299713 -0.082622
0.368737 -0.085721 0.277446 -0.057946
0.370741 -0.081876 0.275376 -0.054141
0.372745 -0.112456 0.247052 -0.020356
0.374749 -0.067686 0.225044 -0.029299
0.376754 -0.093258 0.231593 -0.025673
0.378758 -0.078338 0.221640 -0.053156
0.380762 -0.092938 0.228083 -0.040042
0.382766 -0.069872 0.210484 -0.046862
0.384770 -0.088991 0.205127 -0.027430
0.386774 -0.097271 0.203273 -0.024940
0.388778 -0.096459 0.216525 -0.030831
0.390782 -0.078605 0.203898 -0.021742
0.392786 -0.089321 0.222133 -0.030160
0.394790 -0.085810 0.222380 -0.025690
0.396794 -0.087440 0.217470 -0.017489
0.398798 -0.103806 0.252217 -0.018543
0.400802 -0.110485 0.222938 0.009495
0.402806 -0.090594 0.216912 0.004318
0.404810 -0.073703 0.211242 0.006334
0.406814 -0.093355 0.228301 0.018206
0.408818 -0.088112 0.241913 0.000612
0.410822 -0.087349 0.247222 0.000054
0.412826 -0.099270 0.276070 -0.002444
0.414830 -0.091048 0.272468 0.019582
0.416834 -0.118496 0.282337 0.043431
0.418838 -0.134457 0.293960 0.041941
0.420842 -0.095526 0.274808 0.014846
0.422846 -0.081395 0.263246 0.009058
0.424850 -0.070983 0.278432 -0.015959
0.426854 -0.082906 0.309631 -0.029635
0.428858 -0.074466 0.282168 -0.013263
0.430862 -0.090634 0.309867 -0.036611
0.432866 -0.072778 0.280620 -0.033102
0.434870 -0.109486 0.290031 -0.014733
0.436874 -0.106619 0.276146 -0.015707
0.438878 -0.067778 0.232418 0.001301
0.440882 -0.049146 0.221445 -0.014838
0.442886 -0.031912 0.210975 -0.011502
0.444890 -0.013037 0.224687 -0.036085
0.446894 0.004415 0.203239 -0.037260
0.448898 0.023749 0.187527 -0.047051
0.450902 0.044502 0.158117 -0.029769
0.452906 0.066837 0.143582 -0.038198
0.454910 0.068624 0.151677 -0.048073
0.456914 0.065780 0.140908 -0.027269
0.458918 0.073117 0.134477 -0.030636
0.460922 0.086122 0.131021 -0.038108
0.462926 0.085319 0.128458 -0.035958
0.464930 0.085458 0.147653 -0.059066
0.466934 0.069466 0.148244 -0.042320
0.468938 0.065248 0.177501 -0.071420
0.470942 0.053802 0.185465 -0.066010
0.472946 0.068090 0.189451 -0.086562
0.474950 0.084749 0.177529 -0.088500
0.476954 0.089511 0.175185 -0.086203
0.478958 0.105235 0.187080 -0.115446
0.480962 0.102274 0.202944 -0.127938
0.482966 0.113713 0.175949 -0.109026
0.484970 0.082154 0.212689 -0.118176
0.486974 0.073453 0.207415 -0.101256
0.488978 0.067666 0.232295 -0.121406
0.490982 0.053702 0.239721 -0.112630
0.492986 0.063687 0.236269 -0.117051
0.494990 0.056645 0.236542 -0.106455
0.496994 0.061490 0.224971 -0.093667
0.498998 0.015820 0.244243 -0.059657
0.501002 0.005545 0.236597 -0.034555
0.503006 0.003057 0.235285 -0.027325
0.505010 0.003198 0.230352 -0.018732
0.507014 0.013077 0.232396 -0.031188
0.509018 0.005217 0.244345 -0.034287
0.511022 0.028005 0.246216 -0.062943
0.513026 0.026038 0.244921 -0.056578
0.515030 -0.005104 0.258504 -0.033508
0.517034 -0.024125 0.289589 -0.045714
0.519038 -0.030848 0.309046 -0.059328
0.521042 -0.032055 0.319172 -0.068420
0.523046 -0.029918 0.304000 -0.050200
0.525050 -0.017776 0.291479 -0.048793
0.527054 -0.020883 0.309153 -0.066944
0.529058 -0.040082 0.330948 -0.070745
0.531062 -0.026469 0.317599 -0.075180
0.533066 -0.033268 0.313446 -0.060227
0.535070 -0.035741 0.308000 -0.046231
0.537074 -0.032086 0.312949 -0.060661
0.539078 -0.026615 0.299611 -0.053546
0.541082 -0.008673 0.302974 -0.075808
0.543086 0.002521 0.309042 -0.098155
0.545090 0.003263 0.310640 -0.101769
0.547094 -0.014090 0.319474 -0.097844
0.549098 0.001944 0.319626 -0.119863
0.551102 -0.005706 0.336028 -0.126361
0.553106 0.005030 0.316038 -0.105176
0.555110 0.011626 0.323145 -0.118182
0.557114 0.003876 0.335172 -0.129572
0.559118 0.012081 0.334404 -0.137578
0.561122 0.020536 0.324225 -0.135073
0.563126 0.022337 0.329947 -0.142653
0.565130 0.023531 0.322959 -0.128350
0.567134 0.035221 0.323239 -0.155300
0.569138 0.025959 0.315238 -0.144634
