Time p_x p_y p_z
0.000000 -0.155948 -0.080447 0.152325
0.002004 -0.155846 -0.012168 0.152301
0.004008 -0.155743 0.056111 0.152271
0.006012 -0.155637 0.124400 0.152249
0.008016 -0.155532 0.192687 0.152204
0.010020 -0.155451 0.260980 0.152159
0.012024 -0.155361 0.329258 0.152114
0.014028 -0.155251 0.397534 0.152059
0.016032 -0.155135 0.465816 0.152013
0.018036 -0.155019 0.534099 0.151974
0.020040 -0.154911 0.602384 0.151942
0.022044 -0.154795 0.670681 0.151918
0.024048 -0.154723 0.738978 0.151895
0.026052 -0.154646 0.807256 0.151874
0.028056 -0.154577 0.875543 0.151855
0.030060 -0.154504 0.943842 0.151835
0.032064 -0.154432 1.012135 0.151818
0.034068 -0.154345 1.080420 0.151784
0.036072 -0.154234 1.148724 0.151742
0.038076 -0.154093 1.217014 0.151686
0.040080 -0.153958 1.285298 0.151648
0.042084 -0.153826 1.353593 0.151637
0.044088 -0.153691 1.421888 0.151648
0.046092 -0.153573 1.457729 0.151659
0.048096 -0.153452 1.493578 0.151674
0.050100 -0.153351 1.529444 0.151687
0.052104 -0.153247 1.565308 0.151701
0.054108 -0.153149 1.601171 0.151701
0.056112 -0.153065 1.637038 0.151699
0.058116 -0.152979 1.672920 0.151681
0.060120 -0.152878 1.708780 0.151695
0.062124 -0.152780 1.744633 0.151696
0.064128 -0.152683 1.780476 0.151710
0.066132 -0.152588 1.816318 0.151724
0.068136 -0.152510 1.852139 0.151700
0.070140 -0.152424 1.887941 0.151673
0.072144 -0.152333 1.923727 0.151663
0.074148 -0.152209 1.959506 0.151643
0.076152 -0.152099 1.995266 0.151639
0.078156 -0.151992 2.031027 0.151640
0.080160 -0.151878 2.066798 0.151648
0.082164 -0.151771 2.102589 0.151662
0.084168 -0.151660 2.138383 0.151670
0.086172 -0.151534 2.174180 0.151658
0.088176 -0.151388 2.209964 0.151661
0.090180 -0.151249 2.245763 0.151667
0.092184 -0.151091 2.281557 0.151689
0.094188 -0.150909 2.317362 0.151707
0.096192 -0.150724 2.353199 0.151714
0.098196 -0.150525 2.389039 0.151727
0.100200 -0.150317 2.424890 0.151732
0.102204 -0.150113 2.460750 0.151753
0.104208 -0.149914 2.496608 0.151766
0.106212 -0.149680 2.532443 0.151779
0.108216 -0.149441 2.568277 0.151793
0.110220 -0.149179 2.604098 0.151800
0.112224 -0.148930 2.639912 0.151786
0.114228 -0.148707 2.675718 0.151773
0.116232 -0.148502 2.711518 0.151767
0.118236 -0.148288 2.747326 0.151769
0.120240 -0.148068 2.783148 0.151775
0.122244 -0.147850 2.818975 0.151812
0.124248 -0.147639 2.854805 0.151845
0.126253 -0.147408 2.890618 0.151871
0.128257 -0.147178 2.926408 0.151910
0.130261 -0.146938 2.941185 0.151946
0.132265 -0.146706 2.955981 0.151983
0.134269 -0.146476 2.970780 0.152024
0.136273 -0.146255 2.985587 0.152071
0.138277 -0.146040 3.000413 0.152138
0.140281 -0.145828 3.015217 0.152214
0.142285 -0.145619 3.030028 0.152305
0.144289 -0.145414 3.044821 0.152407
0.146293 -0.145192 3.059628 0.152492
0.148297 -0.144970 3.074426 0.152577
0.150301 -0.144744 3.089222 0.152659
0.152305 -0.144514 3.104009 0.152747
0.154309 -0.144283 3.118794 0.152843
0.156313 -0.144061 3.133593 0.152942
0.158317 -0.143855 3.148406 0.153042
0.160321 -0.143642 3.163241 0.153144
0.162325 -0.143447 3.178072 0.153226
0.164329 -0.143242 3.192904 0.153319
0.166333 -0.143023 3.207741 0.153414
0.168337 -0.142794 3.222576 0.153519
0.170341 -0.142572 3.237409 0.153634
0.172345 -0.142352 3.252237 0.153738
0.174349 -0.142132 3.267041 0.153842
0.176353 -0.141907 3.281838 0.153936
0.178357 -0.141695 3.296633 0.154024
0.180361 -0.141453 3.311429 0.154109
0.182365 -0.141220 3.326207 0.154211
0.184369 -0.140986 3.340969 0.154329
0.186373 -0.140761 3.355733 0.154448
0.188377 -0.140534 3.370489 0.154553
0.190381 -0.140301 3.385245 0.154636
0.192385 -0.140069 3.400007 0.154712
0.194389 -0.139823 3.414772 0.154790
0.196393 -0.139561 3.429553 0.154880
0.198397 -0.139300 3.444325 0.154987
0.200401 -0.139036 3.459092 0.155087
0.202405 -0.138790 3.473840 0.155203
0.204409 -0.138547 3.488576 0.155326
0.206413 -0.138304 3.503304 0.155450
0.208417 -0.138058 3.518041 0.155574
0.210421 -0.137813 3.532775 0.155703
0.212425 -0.137556 3.547522 0.155840
0.214429 -0.137322 3.562274 0.155973
0.216433 -0.137069 3.577033 0.156127
0.218437 -0.136813 3.591756 0.156284
0.220441 -0.136576 3.606472 0.156441
0.222445 -0.136345 3.621179 0.156587
0.224449 -0.136112 3.635877 0.156718
0.226453 -0.135874 3.650595 0.156853
0.228457 -0.135626 3.665304 0.156990
0.230461 -0.135367 3.680016 0.157136
0.232465 -0.135114 3.694738 0.157288
0.234469 -0.134865 3.709467 0.157435
0.236473 -0.134613 3.724165 0.157566
0.238477 -0.134353 3.738863 0.157685
0.240481 -0.134099 3.753541 0.157805
0.242485 -0.133842 3.768214 0.157927
0.244489 -0.133583 3.782884 0.158052
0.246493 -0.133329 3.797555 0.158179
0.248497 -0.133077 3.812234 0.158293
0.250501 -0.132827 3.826923 0.158403
0.252505 -0.132585 3.841619 0.158510
0.254509 -0.132330 3.856309 0.158632
0.256513 -0.132097 3.870997 0.158736
0.258517 -0.131867 3.885689 0.158842
0.260521 -0.131630 3.900389 0.158941
0.262525 -0.131398 3.915083 0.159052
0.264529 -0.131187 3.929772 0.159162
0.266533 -0.130976 3.944449 0.159265
0.268537 -0.130763 3.959124 0.159355
0.270541 -0.130572 3.973795 0.159426
0.272545 -0.130382 3.988464 0.159497
0.274549 -0.130186 4.003150 0.159567
