Time p_x p_y p_z
0.288577 -0.075044 4.103794 -0.185331
0.290581 -0.074899 4.118314 -0.185502
0.292585 -0.074750 4.132855 -0.185661
0.294589 -0.074599 4.147398 -0.185827
0.296593 -0.074428 4.161954 -0.185995
0.298597 -0.074251 4.176494 -0.186175
0.300601 -0.074074 4.191019 -0.186360
0.302605 -0.073912 4.205539 -0.186546
0.304609 -0.073754 4.220059 -0.186744
0.306613 -0.073599 4.234569 -0.186953
0.308617 -0.073451 4.249089 -0.187160
0.310621 -0.073302 4.263597 -0.187341
0.312625 -0.073165 4.278121 -0.187501
0.314629 -0.073033 4.292647 -0.187676
0.316633 -0.072913 4.307178 -0.187861
0.318637 -0.072812 4.321730 -0.188037
0.320641 -0.072732 4.336266 -0.188200
0.322645 -0.072648 4.350812 -0.188372
0.324649 -0.072556 4.365381 -0.188571
0.326653 -0.072454 4.379954 -0.188785
0.328657 -0.072335 4.394532 -0.189002
0.330661 -0.072209 4.409111 -0.189198
0.332665 -0.072069 4.423687 -0.189375
0.334669 -0.071915 4.434607 -0.189579
0.336673 -0.071784 4.445524 -0.189811
0.338677 -0.071659 4.456440 -0.190042
0.340681 -0.071541 4.467363 -0.190278
0.342685 -0.071419 4.478295 -0.190517
0.344689 -0.071311 4.489210 -0.190758
0.346693 -0.071219 4.500131 -0.190986
0.348697 -0.071119 4.511058 -0.191220
0.350701 -0.071022 4.521979 -0.191450
0.352705 -0.070929 4.532904 -0.191674
0.354709 -0.070835 4.543819 -0.191887
0.356713 -0.070747 4.554728 -0.192104
0.358717 -0.070680 4.565633 -0.192324
0.360721 -0.070617 4.576540 -0.192568
0.362725 -0.070531 4.587462 -0.192801
0.364729 -0.070441 4.598376 -0.193040
0.366733 -0.070337 4.609288 -0.193269
0.368737 -0.070236 4.620217 -0.193499
0.370741 -0.070141 4.631149 -0.193702
0.372745 -0.070052 4.642077 -0.193918
0.374749 -0.069953 4.653027 -0.194138
0.376754 -0.069865 4.663981 -0.194358
0.378758 -0.069780 4.674938 -0.194585
0.380762 -0.069685 4.685890 -0.194813
0.382766 -0.069581 4.696838 -0.195045
0.384770 -0.069470 4.707791 -0.195294
0.386774 -0.069367 4.718744 -0.195571
0.388778 -0.069261 4.729704 -0.195850
0.390782 -0.069177 4.740658 -0.196143
0.392786 -0.069093 4.751596 -0.196419
0.394790 -0.069002 4.762532 -0.196694
0.396794 -0.068883 4.773479 -0.196969
0.398798 -0.068759 4.784422 -0.197239
0.400802 -0.068628 4.795363 -0.197516
0.402806 -0.068498 4.806304 -0.197788
0.404810 -0.068388 4.817236 -0.198066
0.406814 -0.068276 4.828137 -0.198371
0.408818 -0.068166 4.839029 -0.198680
0.410822 -0.068054 4.849918 -0.198985
0.412826 -0.067921 4.860820 -0.199287
0.414830 -0.067782 4.871731 -0.199582
0.416834 -0.067636 4.882617 -0.199869
0.418838 -0.067481 4.893513 -0.200151
0.420842 -0.067327 4.904416 -0.200429
0.422846 -0.067167 4.915321 -0.200699
0.424850 -0.067003 4.926202 -0.200985
0.426854 -0.066845 4.937083 -0.201271
0.428858 -0.066695 4.947980 -0.201551
0.430862 -0.066532 4.958878 -0.201821
0.432866 -0.066366 4.969773 -0.202088
0.434870 -0.066186 4.980679 -0.202362
0.436874 -0.066008 4.991566 -0.202648
0.438878 -0.065831 5.002479 -0.202940
0.440882 -0.065662 5.013394 -0.203233
0.442886 -0.065475 5.024290 -0.203530
0.444890 -0.065291 5.035193 -0.203832
0.446894 -0.065106 5.046087 -0.204143
0.448898 -0.064900 5.056971 -0.204433
0.450902 -0.064677 5.067883 -0.204726
0.452906 -0.064458 5.078807 -0.205006
0.454910 -0.064212 5.089755 -0.205279
0.456914 -0.063951 5.100710 -0.205562
0.458918 -0.063680 5.111679 -0.205848
0.460922 -0.063425 5.122646 -0.206136
0.462926 -0.063181 5.133611 -0.206432
0.464930 -0.062953 5.144567 -0.206745
0.466934 -0.062735 5.155533 -0.207074
0.468938 -0.062540 5.166513 -0.207394
0.470942 -0.062364 5.177491 -0.207705
