Time p_x p_y p_z
0.000000 -0.074376 -0.155935 -0.083168
0.002004 -0.074434 -0.087808 -0.083180
0.004008 -0.074466 -0.019670 -0.083194
0.006012 -0.074508 0.048471 -0.083215
0.008016 -0.074551 0.116588 -0.083244
0.010020 -0.074585 0.184699 -0.083286
0.012024 -0.074617 0.252799 -0.083329
0.014028 -0.074650 0.320896 -0.083366
0.016032 -0.074682 0.388979 -0.083391
0.018036 -0.074693 0.457065 -0.083430
0.020040 -0.074683 0.525150 -0.083486
0.022044 -0.074680 0.593239 -0.083542
0.024048 -0.074670 0.661334 -0.083592
0.026052 -0.074650 0.729419 -0.083643
0.028056 -0.074636 0.797497 -0.083681
0.030060 -0.074611 0.865573 -0.083727
0.032064 -0.074578 0.933645 -0.083754
0.034068 -0.074548 1.001725 -0.083787
0.036072 -0.074508 1.069814 -0.083825
0.038076 -0.074478 1.137913 -0.083864
0.040080 -0.074449 1.206016 -0.083886
0.042084 -0.074431 1.274124 -0.083901
0.044088 -0.074417 1.342218 -0.083910
0.046092 -0.074385 1.377845 -0.083910
0.048096 -0.074351 1.413480 -0.083913
0.050100 -0.074324 1.449127 -0.083905
0.052104 -0.074316 1.484773 -0.083888
0.054108 -0.074320 1.520411 -0.083869
0.056112 -0.074331 1.556066 -0.083840
0.058116 -0.074330 1.591728 -0.083799
0.060120 -0.074329 1.627394 -0.083769
0.062124 -0.074333 1.663055 -0.083721
0.064128 -0.074333 1.698707 -0.083670
0.066132 -0.074342 1.734356 -0.083636
0.068136 -0.074353 1.770010 -0.083620
0.070140 -0.074353 1.805653 -0.083589
0.072144 -0.074366 1.841292 -0.083562
0.074148 -0.074365 1.876941 -0.083549
0.076152 -0.074364 1.912594 -0.083524
0.078156 -0.074356 1.948256 -0.083504
0.080160 -0.074371 1.983928 -0.083481
0.082164 -0.074374 2.019604 -0.083469
0.084168 -0.074371 2.055272 -0.083468
0.086172 -0.074362 2.090940 -0.083455
0.088176 -0.074370 2.126607 -0.083440
0.090180 -0.074370 2.162268 -0.083429
0.092184 -0.074367 2.197923 -0.083439
0.094188 -0.074379 2.233574 -0.083450
0.096192 -0.074420 2.269207 -0.083459
0.098196 -0.074468 2.304853 -0.083469
0.100200 -0.074498 2.340484 -0.083479
0.102204 -0.074538 2.376126 -0.083473
0.104208 -0.074589 2.411776 -0.083483
0.106212 -0.074630 2.447426 -0.083478
0.108216 -0.074675 2.483072 -0.083483
0.110220 -0.074733 2.518710 -0.083478
0.112224 -0.074811 2.554353 -0.083485
0.114228 -0.074887 2.589993 -0.083487
0.116232 -0.074951 2.625650 -0.083482
0.118236 -0.075010 2.661314 -0.083481
0.120240 -0.075076 2.696973 -0.083488
0.122244 -0.075130 2.732631 -0.083506
0.124248 -0.075191 2.768271 -0.083520
0.126253 -0.075251 2.803897 -0.083543
0.128257 -0.075314 2.839507 -0.083574
0.130261 -0.075382 2.854117 -0.083586
0.132265 -0.075470 2.868741 -0.083588
0.134269 -0.075565 2.883350 -0.083589
0.136273 -0.075657 2.897974 -0.083578
0.138277 -0.075743 2.912599 -0.083572
0.140281 -0.075828 2.927207 -0.083570
0.142285 -0.075923 2.941815 -0.083561
0.144289 -0.076010 2.956422 -0.083540
0.146293 -0.076085 2.971019 -0.083520
0.148297 -0.076170 2.985619 -0.083523
0.150301 -0.076253 3.000235 -0.083511
0.152305 -0.076336 3.014849 -0.083508
0.154309 -0.076425 3.029463 -0.083507
0.156313 -0.076521 3.044067 -0.083518
0.158317 -0.076624 3.058670 -0.083546
0.160321 -0.076725 3.073294 -0.083583
0.162325 -0.076826 3.087921 -0.083617
0.164329 -0.076936 3.102543 -0.083642
0.166333 -0.077041 3.117166 -0.083671
0.168337 -0.077142 3.131778 -0.083688
0.170341 -0.077257 3.146366 -0.083717
0.172345 -0.077366 3.160957 -0.083751
0.174349 -0.077469 3.175561 -0.083775
0.176353 -0.077583 3.190165 -0.083804
0.178357 -0.077705 3.204768 -0.083828
0.180361 -0.077827 3.219355 -0.083850
0.182365 -0.077927 3.233939 -0.083855
0.184369 -0.078008 3.248517 -0.083860
