Time u
0.000000 -0.151317
0.002004 -0.150128
0.004008 -0.114135
0.006012 -0.094461
0.008016 -0.119009
0.010020 -0.155906
0.012024 -0.154968
0.014028 -0.163585
0.016032 -0.135351
0.018036 -0.117972
0.020040 -0.103396
0.022044 -0.122768
0.024048 -0.114011
0.026052 -0.155839
0.028056 -0.119021
0.030060 -0.130195
0.032064 -0.107131
0.034068 -0.108363
0.036072 -0.112981
0.038076 -0.036394
0.040080 -0.029416
0.042084 -0.005176
0.044088 -0.075717
0.046092 -0.113214
0.048096 -0.107617
0.050100 -0.087401
0.052104 -0.080068
0.054108 -0.088854
0.056112 -0.125008
0.058116 -0.122071
0.060120 -0.151612
0.062124 -0.141402
0.064128 -0.181724
0.066132 -0.166352
0.068136 -0.128086
0.070140 -0.167653
0.072144 -0.199866
0.074148 -0.181999
0.076152 -0.161858
0.078156 -0.209153
0.080160 -0.198758
0.082164 -0.205401
0.084168 -0.244661
0.086172 -0.245642
0.088176 -0.213294
0.090180 -0.204057
0.092184 -0.242863
0.094188 -0.219178
0.096192 -0.257171
0.098196 -0.251719
0.100200 -0.219406
0.102204 -0.189781
0.104208 -0.219786
0.106212 -0.230626
0.108216 -0.239379
0.110220 -0.190719
0.112224 -0.229668
0.114228 -0.225262
0.116232 -0.238628
0.118236 -0.281872
0.120240 -0.244029
0.122244 -0.257609
0.124248 -0.214753
0.126253 -0.153183
0.128257 -0.194365
0.130261 -0.196741
0.132265 -0.210327
0.134269 -0.178478
0.136273 -0.189605
0.138277 -0.164812
0.140281 -0.179968
0.142285 -0.153012
0.144289 -0.164721
0.146293 -0.249066
0.148297 -0.274490
0.150301 -0.259693
0.152305 -0.252166
0.154309 -0.205485
0.156313 -0.208677
0.158317 -0.240646
0.160321 -0.275392
0.162325 -0.255825
0.164329 -0.266543
0.166333 -0.275347
0.168337 -0.276610
0.170341 -0.255199
0.172345 -0.233383
0.174349 -0.233235
0.176353 -0.220627
0.178357 -0.207840
0.180361 -0.223191
0.182365 -0.243736
0.184369 -0.241784
0.186373 -0.250425
0.188377 -0.285998
0.190381 -0.268720
0.192385 -0.278859
0.194389 -0.292622
0.196393 -0.285127
0.198397 -0.277942
0.200401 -0.276875
0.202405 -0.255170
0.204409 -0.295869
0.206413 -0.295408
0.208417 -0.273613
0.210421 -0.264170
0.212425 -0.303755
0.214429 -0.254212
0.216433 -0.267971
0.218437 -0.290568
0.220441 -0.310098
0.222445 -0.272397
0.224449 -0.319902
0.226453 -0.310980
0.228457 -0.317946
0.230461 -0.300760
0.232465 -0.298758
0.234469 -0.262012
0.236473 -0.251892
0.238477 -0.230438
0.240481 -0.222909
0.242485 -0.231269
0.244489 -0.232352
0.246493 -0.256223
0.248497 -0.258373
0.250501 -0.188641
0.252505 -0.175920
0.254509 -0.203759
0.256513 -0.229635
0.258517 -0.278530
0.260521 -0.259421
0.262525 -0.291810
0.264529 -0.295190
0.266533 -0.311629
0.268537 -0.318413
0.270541 -0.327910
0.272545 -0.332362
0.274549 -0.320781
0.276553 -0.263092
0.278557 -0.232966
0.280561 -0.195878
0.282565 -0.184210
0.284569 -0.126254
0.286573 -0.134284
0.288577 -0.156625
0.290581 -0.122044
0.292585 -0.119208
0.294589 -0.107519
0.296593 -0.096747
0.298597 -0.114836
0.300601 -0.109717
0.302605 -0.096900
0.304609 -0.072482
0.306613 -0.074938
0.308617 -0.081494
0.310621 -0.083900
0.312625 -0.091639
0.314629 -0.107477
0.316633 -0.129490
0.318637 -0.116716
0.320641 -0.118457
0.322645 -0.127968
0.324649 -0.128888
0.326653 -0.135844
0.328657 -0.114364
0.330661 -0.127109
0.332665 -0.116958
0.334669 -0.113134
0.336673 -0.152499
0.338677 -0.150464
0.340681 -0.156195
0.342685 -0.106506
0.344689 -0.123953
0.346693 -0.155290
0.348697 -0.132249
0.350701 -0.127602
0.352705 -0.112983
0.354709 -0.074248
0.356713 -0.048347
0.358717 -0.047686
0.360721 -0.048258
0.362725 -0.061369
0.364729 -0.055081
0.366733 -0.049040
0.368737 -0.077752
0.370741 -0.064407
0.372745 -0.049795
0.374749 -0.059037
0.376754 -0.069107
0.378758 -0.068508
0.380762 -0.068828
0.382766 -0.056870
0.384770 -0.078262
0.386774 -0.081775
0.388778 -0.094602
0.390782 -0.113548
0.392786 -0.125252
0.394790 -0.089954
0.396794 -0.107793
0.398798 -0.098544
0.400802 -0.099903
0.402806 -0.102417
0.404810 -0.074316
0.406814 -0.098697
0.408818 -0.103365
0.410822 -0.114150
0.412826 -0.111543
0.414830 -0.119318
0.416834 -0.118343
0.418838 -0.113701
0.420842 -0.129554
0.422846 -0.128001
0.424850 -0.110967
0.426854 -0.119029
0.428858 -0.107060
0.430862 -0.097575
0.432866 -0.089162
0.434870 -0.105034
0.436874 -0.106629
0.438878 -0.090325
0.440882 -0.085373
0.442886 -0.093401
0.444890 -0.090529
0.446894 -0.083440
0.448898 -0.053746
0.450902 -0.037394
0.452906 -0.037235
0.454910 -0.013067
0.456914 -0.006925
0.458918 -0.000418
0.460922 0.008229
0.462926 0.020041
0.464930 0.008786
0.466934 0.029935
0.468938 0.020274
0.470942 0.023549
0.472946 0.026445
0.474950 0.018223
0.476954 0.011835
0.478958 -0.026132
0.480962 -0.009460
0.482966 -0.018952
0.484970 -0.031868
0.486974 -0.039771
0.488978 -0.042030
0.490982 -0.048989
0.492986 -0.017358
0.494990 -0.026268
0.496994 -0.030399
0.498998 -0.040625
0.501002 -0.036827
0.503006 -0.037370
0.505010 -0.036356
0.507014 -0.020651
0.509018 -0.037616
0.511022 -0.016215
0.513026 -0.016669
0.515030 -0.009069
0.517034 -0.016576
0.519038 -0.017301
0.521042 0.004101
0.523046 -0.009481
0.525050 -0.002246
0.527054 0.011428
0.529058 0.018497
0.531062 0.012566
0.533066 0.015602
0.535070 0.040820
0.537074 0.027240
0.539078 0.029900
0.541082 0.020752
0.543086 0.010984
0.545090 0.006818
0.547094 0.005870
0.549098 -0.006333
0.551102 0.005708
0.553106 0.011060
0.555110 0.021442
0.557114 0.025009
0.559118 0.036598
0.561122 0.025753
0.563126 0.024144
0.565130 0.019753
0.567134 0.014973
0.569138 0.002139
0.571142 0.007057
0.573146 0.017237
0.575150 0.025205
0.577154 0.021041
0.579158 0.019645
0.581162 0.017541
0.583166 0.015882
0.585170 0.017824
0.587174 0.029305
0.589178 0.027748
0.591182 0.017012
0.593186 0.024612
0.595190 0.017995
0.597194 0.009241
0.599198 0.014525
0.601202 0.014681
0.603206 0.013092
0.605210 0.006553
0.607214 0.000222
0.609218 -0.000309
0.611222 -0.000856
0.613226 0.002463
0.615230 0.001623
0.617234 0.011571
0.619238 0.008840
0.621242 -0.003285
0.623246 -0.008860
0.625251 -0.000707
0.627255 -0.007006
0.629259 0.001789
0.631263 -0.004170
0.633267 -0.004024
0.635271 0.003565
0.637275 0.009087
0.639279 0.008417
0.641283 0.004299
0.643287 0.008139
0.645291 0.013447
0.647295 0.016600
0.649299 0.013636
0.651303 0.010124
0.653307 0.010133
0.655311 0.004554
0.657315 0.005485
0.659319 0.003464
0.661323 0.007633
0.663327 0.007005
0.665331 0.006597
0.667335 0.008770
0.669339 0.010541
0.671343 0.008649
0.673347 0.005996
0.675351 0.010570
0.677355 0.012885
0.679359 0.008825
0.681363 0.007434
0.683367 0.001607
0.685371 0.003442
0.687375 0.004705
0.689379 0.006036
0.691383 0.007217
0.693387 0.004615
0.695391 0.002479
0.697395 -0.007966
0.699399 -0.010525
0.701403 -0.003760
0.703407 -0.000994
0.705411 -0.000667
0.707415 0.002122
0.709419 0.003915
0.711423 0.005115
0.713427 0.007135
0.715431 0.012213
0.717435 0.013040
0.719439 0.016058
0.721443 0.016264
0.723447 0.022315
0.725451 0.022772
0.727455 0.023876
0.729459 0.023937
0.731463 0.025718
0.733467 0.028478
0.735471 0.029491
0.737475 0.029819
0.739479 0.032067
0.741483 0.034573
0.743487 0.035946
0.745491 0.039251
0.747495 0.042609
0.749499 0.045903
0.751503 0.045897
0.753507 0.046133
0.755511 0.046547
0.757515 0.042836
0.759519 0.042912
0.761523 0.042805
0.763527 0.043740
0.765531 0.046319
0.767535 0.045516
0.769539 0.044975
0.771543 0.045271
0.773547 0.048115
0.775551 0.048174
0.777555 0.048619
0.779559 0.047471
0.781563 0.048279
0.783567 0.049733
0.785571 0.051347
0.787575 0.052418
0.789579 0.053577
0.791583 0.053634
0.793587 0.052954
0.795591 0.054707
0.797595 0.055745
0.799599 0.056793
0.801603 0.058738
0.803607 0.059520
0.805611 0.060674
0.807615 0.061862
0.809619 0.062186
0.811623 0.062811
0.813627 0.064063
0.815631 0.064652
0.817635 0.065756
0.819639 0.066939
0.821643 0.067901
0.823647 0.069183
0.825651 0.070251
0.827655 0.071342
0.829659 0.072361
0.831663 0.073341
0.833667 0.073873
0.835671 0.074729
0.837675 0.075852
0.839679 0.076728
0.841683 0.077664
0.843687 0.078618
0.845691 0.079721
0.847695 0.080980
0.849699 0.082023
0.851703 0.083113
0.853707 0.084313
0.855711 0.085333
0.857715 0.086510
0.859719 0.087644
0.861723 0.088852
0.863727 0.090006
0.865731 0.091210
0.867735 0.092414
0.869739 0.093628
0.871743 0.094847
0.873747 0.096112
0.875752 0.097416
0.877756 0.098698
0.879760 0.100077
0.881764 0.101364
0.883768 0.102637
0.885772 0.103884
0.887776 0.105124
0.889780 0.106447
0.891784 0.107734
0.893788 0.109089
0.895792 0.110430
0.897796 0.111725
0.899800 0.113034
0.901804 0.114326
0.903808 0.115677
0.905812 0.117012
0.907816 0.118402
0.909820 0.119639
0.911824 0.121068
0.913828 0.122403
0.915832 0.123802
0.917836 0.125149
0.919840 0.126550
0.921844 0.127941
0.923848 0.129346
0.925852 0.130757
0.927856 0.132173
0.929860 0.133620
0.931864 0.135069
0.933868 0.136510
0.935872 0.137958
0.937876 0.139427
0.939880 0.141004
0.941884 0.142597
0.943888 0.144044
0.945892 0.145492
0.947896 0.147115
0.949900 0.148370
0.951904 0.149881
0.953908 0.151132
0.955912 0.152790
0.957916 0.153970
0.959920 0.155431
0.961924 0.156790
0.963928 0.158667
0.965932 0.160189
0.967936 0.161150
0.969940 0.162679
0.971944 0.164192
0.973948 0.165384
0.975952 0.166642
0.977956 0.168215
0.979960 0.169624
0.981964 0.170820
0.983968 0.172354
0.985972 0.174429
0.987976 0.175371
0.989980 0.176791
0.991984 0.178302
0.993988 0.179144
0.995992 0.181855
0.997996 0.182606
1.000000 0.184044
