Time u
0.613226 0.089965
0.615230 0.093458
0.617234 0.093047
0.619238 0.090509
0.621242 0.080536
0.623246 0.081510
0.625251 0.082314
0.627255 0.079750
0.629259 0.077620
0.631263 0.076188
0.633267 0.074280
0.635271 0.082744
0.637275 0.075014
0.639279 0.070713
0.641283 0.071251
0.643287 0.072791
0.645291 0.074397
0.647295 0.080224
0.649299 0.079676
0.651303 0.073008
0.653307 0.077955
0.655311 0.083433
0.657315 0.081769
0.659319 0.085330
0.661323 0.084600
0.663327 0.085605
0.665331 0.082084
0.667335 0.081800
0.669339 0.079464
0.671343 0.076087
0.673347 0.072822
0.675351 0.069342
0.677355 0.068536
0.679359 0.074873
0.681363 0.072107
0.683367 0.073127
0.685371 0.069491
0.687375 0.071597
0.689379 0.066516
0.691383 0.067209
0.693387 0.067098
0.695391 0.063947
0.697395 0.055472
0.699399 0.056162
0.701403 0.049512
0.703407 0.046431
0.705411 0.046917
0.707415 0.043197
0.709419 0.040881
0.711423 0.040235
0.713427 0.039467
0.715431 0.042323
0.717435 0.040779
0.719439 0.037726
0.721443 0.035295
0.723447 0.034128
0.725451 0.030116
0.727455 0.029090
0.729459 0.026086
0.731463 0.026467
0.733467 0.024984
0.735471 0.022635
0.737475 0.019564
0.739479 0.017715
0.741483 0.015375
0.743487 0.011610
0.745491 0.007978
0.747495 0.007192
0.749499 0.005188
0.751503 0.001333
0.753507 -0.000474
0.755511 -0.002083
0.757515 -0.005498
0.759519 -0.008129
0.761523 -0.008786
0.763527 -0.010277
0.765531 -0.010466
0.767535 -0.011714
0.769539 -0.014214
0.771543 -0.014366
0.773547 -0.016933
0.775551 -0.018059
0.777555 -0.018914
0.779559 -0.019781
0.781563 -0.019479
0.783567 -0.021022
0.785571 -0.021713
0.787575 -0.022065
0.789579 -0.023765
0.791583 -0.025043
0.793587 -0.026481
0.795591 -0.028279
0.797595 -0.030089
0.799599 -0.031575
0.801603 -0.033111
0.803607 -0.034596
0.805611 -0.036170
0.807615 -0.037414
0.809619 -0.038527
0.811623 -0.039780
0.813627 -0.041779
0.815631 -0.043535
0.817635 -0.045620
0.819639 -0.047753
0.821643 -0.049179
0.823647 -0.050541
0.825651 -0.051708
0.827655 -0.053394
0.829659 -0.055307
0.831663 -0.057373
0.833667 -0.059064
0.835671 -0.060637
0.837675 -0.062345
0.839679 -0.063864
0.841683 -0.065540
0.843687 -0.067182
0.845691 -0.068680
0.847695 -0.070305
0.849699 -0.072005
0.851703 -0.073761
0.853707 -0.075407
0.855711 -0.077109
0.857715 -0.078633
0.859719 -0.080198
0.861723 -0.081742
0.863727 -0.083289
0.865731 -0.084816
0.867735 -0.086357
0.869739 -0.087895
0.871743 -0.089432
0.873747 -0.090968
0.875752 -0.092499
0.877756 -0.094017
0.879760 -0.095478
0.881764 -0.096984
0.883768 -0.098470
0.885772 -0.100029
0.887776 -0.101503
0.889780 -0.102973
0.891784 -0.104473
0.893788 -0.105913
0.895792 -0.107379
0.897796 -0.108837
0.899800 -0.110335
0.901804 -0.111721
0.903808 -0.113188
0.905812 -0.114597
0.907816 -0.115997
0.909820 -0.117363
0.911824 -0.118721
0.913828 -0.120141
0.915832 -0.121476
0.917836 -0.122824
0.919840 -0.124188
0.921844 -0.125538
0.923848 -0.126870
0.925852 -0.128189
0.927856 -0.129521
0.929860 -0.130856
0.931864 -0.132166
0.933868 -0.133510
0.935872 -0.134806
0.937876 -0.136184
0.939880 -0.137568
0.941884 -0.138727
0.943888 -0.140086
0.945892 -0.141397
0.947896 -0.142628
0.949900 -0.144010
0.951904 -0.145188
0.953908 -0.146326
0.955912 -0.147672
0.957916 -0.148879
0.959920 -0.150124
0.961924 -0.151635
0.963928 -0.152722
0.965932 -0.154005
0.967936 -0.155455
0.969940 -0.156277
0.971944 -0.157505
0.973948 -0.158627
0.975952 -0.159989
0.977956 -0.161278
0.979960 -0.162468
0.981964 -0.163252
0.983968 -0.164862
0.985972 -0.166802
0.987976 -0.168252
0.989980 -0.169922
0.991984 -0.171145
0.993988 -0.172089
0.995992 -0.173386
0.997996 -0.173502
1.000000 -0.175829
