Iteration P0_1 P0_2 P0_3 P0_4 P0_5 P0_6 P0_7 P0_8 P0_9 P0_10 P0_11 P0_12 P0_13 P0_14 P0_15 P0_16 P0_17 P0_18 P0_19 P0_20 P0_21 
29 2.546230 0.903771 2.462964 0.476934 1.037527 1.686688 1.423116 0.602185 0.056485 1.552699 0.580045 1.460803 0.323770 0.161529 1.585136 0.284608 0.703377 0.798109 -0.057448 0.125973 1.220586 
30 2.552238 0.909838 2.469074 0.479754 1.040346 1.683059 1.426296 0.605428 0.056924 1.554263 0.583456 1.464275 0.324229 0.163179 1.586857 0.285992 0.704767 0.795522 -0.057184 0.126252 1.219057 
31 2.557913 0.915560 2.474815 0.482578 1.043101 1.679989 1.429321 0.608486 0.057465 1.555751 0.586692 1.467535 0.324760 0.164736 1.588463 0.287402 0.706131 0.793290 -0.056873 0.126553 1.217724 
32 2.563281 0.920964 2.480222 0.485393 1.045796 1.677419 1.432200 0.611375 0.058092 1.557169 0.589764 1.470605 0.325354 0.166205 1.589965 0.288825 0.707469 0.791377 -0.056522 0.126875 1.216565 
33 2.568365 0.926075 2.485323 0.488186 1.048434 1.675297 1.434941 0.614110 0.058789 1.558519 0.592683 1.473502 0.326003 0.167595 1.591373 0.290252 0.708785 0.789750 -0.056140 0.127214 1.215566 
34 2.573184 0.930915 2.490146 0.490947 1.051019 1.673577 1.437551 0.616702 0.059544 1.559805 0.595459 1.476242 0.326701 0.168912 1.592697 0.291676 0.710080 0.788381 -0.055732 0.127570 1.214708 
35 2.577757 0.935505 2.494715 0.493670 1.053552 1.672217 1.440040 0.619164 0.060347 1.561031 0.598101 1.478840 0.327441 0.170160 1.593945 0.293090 0.711354 0.787243 -0.055305 0.127939 1.213978 
36 2.582100 0.939863 2.499050 0.496350 1.056036 1.671176 1.442412 0.621504 0.061188 1.562199 0.600619 1.481307 0.328217 0.171344 1.595124 0.294489 0.712608 0.786311 -0.054862 0.128320 1.213363 
37 2.586228 0.944006 2.503171 0.498981 1.058472 1.670421 1.444676 0.623733 0.062059 1.563313 0.603019 1.483655 0.329023 0.172470 1.596241 0.295870 0.713844 0.785563 -0.054408 0.128712 1.212851 
38 2.590155 0.947949 2.507094 0.501561 1.060861 1.669920 1.446836 0.625857 0.062953 1.564375 0.605309 1.485892 0.329856 0.173541 1.597299 0.297230 0.715061 0.784981 -0.053946 0.129112 1.212431 
39 2.593894 0.951705 2.510835 0.504087 1.063206 1.669644 1.448899 0.627886 0.063864 1.565388 0.607496 1.488029 0.330710 0.174561 1.598306 0.298567 0.716259 0.784546 -0.053478 0.129519 1.212093 
40 2.597457 0.955288 2.514408 0.506558 1.065506 1.669569 1.450870 0.629824 0.064787 1.566355 0.609587 1.490072 0.331581 0.175534 1.599264 0.299878 0.717439 0.784241 -0.053008 0.129931 1.211829 
41 2.600854 0.958709 2.517824 0.508973 1.067762 1.669670 1.452755 0.631679 0.065717 1.567278 0.611586 1.492028 0.332465 0.176462 1.600178 0.301163 0.718601 0.784054 -0.052537 0.130348 1.211631 
42 2.604097 0.961979 2.521095 0.511331 1.069975 1.669927 1.454557 0.633455 0.066652 1.568161 0.613500 1.493904 0.333360 0.177348 1.601052 0.302420 0.719744 0.783969 -0.052066 0.130768 1.211491 
43 2.607193 0.965107 2.524231 0.513633 1.072145 1.670322 1.456282 0.635158 0.067587 1.569004 0.615333 1.495705 0.334262 0.178196 1.601887 0.303649 0.720869 0.783975 -0.051597 0.131189 1.211403 
44 2.610152 0.968101 2.527241 0.515877 1.074274 1.670837 1.457933 0.636793 0.068520 1.569809 0.617090 1.497436 0.335169 0.179007 1.602688 0.304851 0.721976 0.784063 -0.051132 0.131611 1.211361 
45 2.612981 0.970970 2.530132 0.518066 1.076361 1.671458 1.459515 0.638362 0.069448 1.570580 0.618776 1.499101 0.336077 0.179783 1.603456 0.306023 0.723064 0.784222 -0.050671 0.132033 1.211360 
46 2.615688 0.973722 2.532912 0.520199 1.078407 1.672170 1.461031 0.639871 0.070370 1.571318 0.620393 1.500705 0.336986 0.180528 1.604193 0.307168 0.724134 0.784443 -0.050216 0.132454 1.211395 
47 2.618281 0.976364 2.535588 0.522277 1.080412 1.672961 1.462485 0.641322 0.071283 1.572025 0.621947 1.502251 0.337893 0.181242 1.604903 0.308284 0.725185 0.784719 -0.049766 0.132873 1.211462 
48 2.620765 0.978901 2.538166 0.524302 1.082377 1.673821 1.463880 0.642719 0.072186 1.572702 0.623441 1.503742 0.338795 0.181928 1.605585 0.309372 0.726217 0.785043 -0.049323 0.133290 1.211556 
49 2.623147 0.981340 2.540652 0.526273 1.084302 1.674740 1.465219 0.644065 0.073078 1.573351 0.624877 1.505182 0.339693 0.182587 1.606243 0.310432 0.727231 0.785409 -0.048887 0.133704 1.211676 
50 2.625432 0.983686 2.543050 0.528193 1.086188 1.675708 1.466505 0.645362 0.073958 1.573973 0.626259 1.506574 0.340584 0.183220 1.606877 0.311466 0.728226 0.785810 -0.048457 0.134115 1.211816 
51 2.627626 0.985944 2.545366 0.530063 1.088034 1.676718 1.467742 0.646613 0.074825 1.574570 0.627590 1.507919 0.341467 0.183829 1.607489 0.312472 0.729203 0.786242 -0.048036 0.134521 1.211976 
52 2.629733 0.988119 2.547604 0.531882 1.089843 1.677763 1.468930 0.647821 0.075678 1.575144 0.628872 1.509220 0.342341 0.184416 1.608081 0.313453 0.730161 0.786701 -0.047622 0.134923 1.212151 
53 2.631758 0.990215 2.549767 0.533654 1.091612 1.678836 1.470073 0.648987 0.076517 1.575694 0.630107 1.510480 0.343205 0.184981 1.608652 0.314407 0.731100 0.787181 -0.047216 0.135320 1.212340 
54 2.633706 0.992237 2.551859 0.535378 1.093345 1.679931 1.471174 0.650114 0.077342 1.576224 0.631299 1.511700 0.344058 0.185525 1.609204 0.315337 0.732021 0.787680 -0.046819 0.135712 1.212541 
55 2.635580 0.994187 2.553885 0.537057 1.095040 1.681045 1.472233 0.651203 0.078151 1.576733 0.632449 1.512881 0.344901 0.186050 1.609739 0.316242 0.732923 0.788195 -0.046429 0.136099 1.212752 
56 2.637384 0.996070 2.555846 0.538691 1.096698 1.682171 1.473254 0.652256 0.078945 1.577222 0.633559 1.514027 0.345731 0.186557 1.610256 0.317123 0.733808 0.788722 -0.046047 0.136480 1.212971 
