Iteration P0_1 P0_2 P0_3 P0_4 P0_5 P0_6 P0_7 P0_8 P0_9 P0_10 P0_11 P0_12 P0_13 P0_14 P0_15 P0_16 P0_17 P0_18 P0_19 P0_20 P0_21 
124 2.687193 1.050219 2.614698 0.589642 1.151841 1.730891 1.501550 0.683142 0.105599 1.590536 0.665295 1.548740 0.375202 0.200979 1.625761 0.344568 0.763593 0.813369 -0.033537 0.149965 1.224178 
125 2.687443 1.050499 2.615012 0.589916 1.152149 1.731190 1.501692 0.683304 0.105747 1.590601 0.665458 1.548925 0.375370 0.201053 1.625843 0.344715 0.763760 0.813524 -0.033468 0.150042 1.224250 
126 2.687687 1.050772 2.615318 0.590184 1.152450 1.731482 1.501831 0.683461 0.105891 1.590666 0.665617 1.549105 0.375535 0.201125 1.625923 0.344859 0.763923 0.813675 -0.033401 0.150117 1.224320 
127 2.687925 1.051039 2.615616 0.590444 1.152743 1.731766 1.501965 0.683614 0.106032 1.590728 0.665772 1.549282 0.375695 0.201195 1.626001 0.344999 0.764082 0.813822 -0.033336 0.150191 1.224388 
128 2.688157 1.051299 2.615907 0.590699 1.153029 1.732044 1.502097 0.683764 0.106169 1.590789 0.665923 1.549454 0.375852 0.201263 1.626078 0.345135 0.764237 0.813965 -0.033272 0.150262 1.224455 
129 2.688384 1.051553 2.616191 0.590947 1.153308 1.732315 1.502225 0.683910 0.106303 1.590849 0.666070 1.549621 0.376005 0.201330 1.626152 0.345268 0.764388 0.814105 -0.033210 0.150332 1.224520 
130 2.688604 1.051800 2.616467 0.591189 1.153580 1.732579 1.502351 0.684052 0.106434 1.590907 0.666214 1.549785 0.376153 0.201395 1.626225 0.345398 0.764536 0.814241 -0.033150 0.150400 1.224583 
131 2.688820 1.052041 2.616737 0.591425 1.153845 1.732837 1.502473 0.684191 0.106561 1.590963 0.666354 1.549944 0.376299 0.201459 1.626296 0.345525 0.764680 0.814374 -0.033091 0.150467 1.224645 
132 2.689030 1.052277 2.617001 0.591655 1.154104 1.733088 1.502592 0.684326 0.106685 1.591018 0.666491 1.550100 0.376441 0.201521 1.626365 0.345648 0.764820 0.814504 -0.033033 0.150531 1.224705 
133 2.689235 1.052506 2.617258 0.591879 1.154357 1.733333 1.502708 0.684458 0.106806 1.591072 0.666624 1.550251 0.376579 0.201581 1.626432 0.345768 0.764957 0.814631 -0.032977 0.150594 1.224764 
134 2.689434 1.052730 2.617508 0.592098 1.154603 1.733572 1.502821 0.684587 0.106925 1.591125 0.666754 1.550399 0.376714 0.201640 1.626498 0.345886 0.765090 0.814755 -0.032922 0.150656 1.224822 
135 2.689629 1.052949 2.617753 0.592312 1.154843 1.733806 1.502931 0.684713 0.107040 1.591176 0.666881 1.550544 0.376845 0.201697 1.626562 0.346000 0.765221 0.814875 -0.032869 0.150716 1.224878 
136 2.689819 1.053162 2.617991 0.592520 1.155078 1.734034 1.503039 0.684835 0.107152 1.591226 0.667005 1.550684 0.376974 0.201753 1.626624 0.346112 0.765348 0.814993 -0.032817 0.150775 1.224932 
137 2.690005 1.053369 2.618224 0.592723 1.155306 1.734256 1.503144 0.684955 0.107262 1.591274 0.667125 1.550822 0.377099 0.201808 1.626685 0.346221 0.765472 0.815107 -0.032766 0.150832 1.224986 
138 2.690186 1.053572 2.618451 0.592922 1.155530 1.734472 1.503247 0.685071 0.107369 1.591322 0.667243 1.550956 0.377221 0.201861 1.626745 0.346327 0.765593 0.815219 -0.032717 0.150888 1.225038 
139 2.690362 1.053770 2.618672 0.593115 1.155747 1.734684 1.503347 0.685185 0.107474 1.591368 0.667358 1.551086 0.377340 0.201913 1.626803 0.346431 0.765711 0.815329 -0.032668 0.150942 1.225088 
140 2.690534 1.053963 2.618888 0.593304 1.155959 1.734890 1.503444 0.685296 0.107575 1.591413 0.667470 1.551214 0.377456 0.201964 1.626859 0.346532 0.765826 0.815435 -0.032621 0.150995 1.225138 
141 2.690702 1.054151 2.619099 0.593488 1.156166 1.735091 1.503539 0.685404 0.107675 1.591457 0.667579 1.551338 0.377569 0.202014 1.626914 0.346631 0.765938 0.815539 -0.032575 0.151047 1.225186 
142 2.690865 1.054334 2.619304 0.593667 1.156368 1.735287 1.503632 0.685509 0.107772 1.591500 0.667685 1.551460 0.377680 0.202062 1.626968 0.346727 0.766047 0.815640 -0.032530 0.151098 1.225233 
143 2.691025 1.054513 2.619505 0.593842 1.156565 1.735479 1.503722 0.685612 0.107866 1.591542 0.667789 1.551578 0.377788 0.202109 1.627021 0.346821 0.766154 0.815739 -0.032486 0.151147 1.225279 
144 2.691181 1.054688 2.619700 0.594013 1.156758 1.735666 1.503810 0.685713 0.107958 1.591583 0.667891 1.551693 0.377893 0.202155 1.627072 0.346912 0.766258 0.815836 -0.032444 0.151195 1.225324 
145 2.691333 1.054858 2.619891 0.594179 1.156945 1.735848 1.503896 0.685811 0.108048 1.591623 0.667990 1.551806 0.377996 0.202200 1.627122 0.347002 0.766360 0.815930 -0.032402 0.151242 1.225368 
146 2.691481 1.055025 2.620077 0.594342 1.157128 1.736025 1.503980 0.685906 0.108136 1.591662 0.668086 1.551916 0.378096 0.202243 1.627171 0.347089 0.766459 0.816022 -0.032362 0.151287 1.225410 
147 2.691626 1.055187 2.620259 0.594500 1.157307 1.736199 1.504062 0.685999 0.108222 1.591699 0.668180 1.552023 0.378193 0.202286 1.627218 0.347174 0.766556 0.816111 -0.032322 0.151332 1.225452 
148 2.691767 1.055345 2.620436 0.594655 1.157481 1.736368 1.504142 0.686090 0.108305 1.591736 0.668272 1.552127 0.378289 0.202327 1.627265 0.347257 0.766650 0.816198 -0.032283 0.151376 1.225493 
149 2.691904 1.055499 2.620609 0.594806 1.157651 1.736533 1.504220 0.686179 0.108386 1.591773 0.668361 1.552229 0.378382 0.202368 1.627310 0.347338 0.766742 0.816284 -0.032246 0.151418 1.225532 
150 2.692038 1.055650 2.620777 0.594953 1.157816 1.736694 1.504296 0.686265 0.108466 1.591808 0.668449 1.552329 0.378472 0.202408 1.627354 0.347416 0.766832 0.816367 -0.032209 0.151459 1.225571 
151 2.692169 1.055797 2.620942 0.595097 1.157978 1.736851 1.504370 0.686350 0.108543 1.591842 0.668534 1.552426 0.378561 0.202446 1.627397 0.347493 0.766919 0.816448 -0.032173 0.151500 1.225608 
152 2.692297 1.055940 2.621102 0.595237 1.158136 1.737004 1.504442 0.686432 0.108619 1.591876 0.668617 1.552520 0.378647 0.202484 1.627439 0.347568 0.767005 0.816527 -0.032138 0.151539 1.225645 
153 2.692422 1.056080 2.621259 0.595373 1.158289 1.737154 1.504513 0.686512 0.108693 1.591908 0.668698 1.552613 0.378731 0.202520 1.627480 0.347642 0.767088 0.816604 -0.032104 0.151578 1.225681 
154 2.692543 1.056216 2.621412 0.595507 1.158439 1.737299 1.504582 0.686591 0.108765 1.591940 0.668777 1.552703 0.378813 0.202556 1.627520 0.347713 0.767169 0.816679 -0.032071 0.151615 1.225716 
155 2.692662 1.056349 2.621561 0.595637 1.158586 1.737442 1.504649 0.686667 0.108835 1.591971 0.668854 1.552791 0.378893 0.202591 1.627559 0.347783 0.767249 0.816753 -0.032038 0.151652 1.225750 
156 2.692777 1.056479 2.621706 0.595763 1.158729 1.737580 1.504714 0.686742 0.108903 1.592001 0.668929 1.552876 0.378972 0.202625 1.627597 0.347851 0.767326 0.816825 -0.032006 0.151688 1.225783 
157 2.692890 1.056605 2.621848 0.595887 1.158868 1.737716 1.504778 0.686814 0.108970 1.592031 0.669003 1.552960 0.379048 0.202659 1.627634 0.347917 0.767402 0.816895 -0.031975 0.151722 1.225816 
158 2.693000 1.056729 2.621986 0.596008 1.159004 1.737848 1.504841 0.686885 0.109035 1.592060 0.669074 1.553042 0.379122 0.202691 1.627670 0.347982 0.767475 0.816963 -0.031945 0.151756 1.225848 
159 2.693108 1.056849 2.622121 0.596126 1.159137 1.737977 1.504901 0.686954 0.109099 1.592088 0.669144 1.553121 0.379195 0.202723 1.627706 0.348045 0.767547 0.817029 -0.031916 0.151789 1.225879 
160 2.693213 1.056967 2.622253 0.596241 1.159266 1.738102 1.504961 0.687022 0.109161 1.592115 0.669212 1.553199 0.379266 0.202754 1.627740 0.348106 0.767617 0.817094 -0.031887 0.151822 1.225909 
161 2.693315 1.057081 2.622381 0.596353 1.159392 1.738225 1.505019 0.687088 0.109221 1.592142 0.669279 1.553275 0.379335 0.202784 1.627774 0.348166 0.767686 0.817157 -0.031859 0.151853 1.225938 
162 2.693414 1.057193 2.622507 0.596462 1.159515 1.738345 1.505075 0.687152 0.109280 1.592168 0.669344 1.553349 0.379402 0.202813 1.627807 0.348225 0.767752 0.817219 -0.031832 0.151884 1.225967 
163 2.693512 1.057303 2.622629 0.596569 1.159635 1.738461 1.505130 0.687215 0.109338 1.592194 0.669407 1.553421 0.379468 0.202842 1.627839 0.348282 0.767817 0.817279 -0.031805 0.151914 1.225995 
164 2.693607 1.057409 2.622748 0.596673 1.159753 1.738575 1.505184 0.687276 0.109394 1.592219 0.669469 1.553491 0.379532 0.202870 1.627870 0.348338 0.767881 0.817338 -0.031779 0.151943 1.226022 
165 2.693699 1.057513 2.622865 0.596774 1.159867 1.738686 1.505236 0.687336 0.109449 1.592243 0.669529 1.553560 0.379594 0.202897 1.627900 0.348392 0.767943 0.817396 -0.031754 0.151972 1.226049 
166 2.693790 1.057614 2.622978 0.596873 1.159979 1.738795 1.505287 0.687394 0.109502 1.592267 0.669588 1.553627 0.379655 0.202924 1.627930 0.348445 0.768003 0.817452 -0.031729 0.152000 1.226075 
167 2.693878 1.057713 2.623089 0.596970 1.160087 1.738900 1.505337 0.687451 0.109554 1.592290 0.669645 1.553692 0.379715 0.202949 1.627959 0.348497 0.768062 0.817506 -0.031705 0.152027 1.226100 
168 2.693964 1.057810 2.623197 0.597064 1.160194 1.739004 1.505386 0.687506 0.109605 1.592312 0.669701 1.553756 0.379773 0.202975 1.627987 0.348548 0.768120 0.817559 -0.031681 0.152054 1.226125 
169 2.694048 1.057904 2.623302 0.597156 1.160297 1.739104 1.505433 0.687560 0.109655 1.592334 0.669756 1.553818 0.379830 0.203000 1.628015 0.348597 0.768176 0.817611 -0.031658 0.152079 1.226149 
170 2.694130 1.057996 2.623405 0.597246 1.160398 1.739202 1.505480 0.687613 0.109703 1.592356 0.669809 1.553878 0.379885 0.203024 1.628042 0.348645 0.768230 0.817662 -0.031636 0.152105 1.226173 
171 2.694209 1.058085 2.623506 0.597334 1.160497 1.739298 1.505525 0.687664 0.109751 1.592377 0.669861 1.553938 0.379939 0.203047 1.628068 0.348692 0.768284 0.817711 -0.031614 0.152129 1.226196 
172 2.694287 1.058173 2.623604 0.597419 1.160593 1.739392 1.505569 0.687715 0.109797 1.592397 0.669911 1.553995 0.379992 0.203070 1.628094 0.348738 0.768336 0.817760 -0.031593 0.152153 1.226218 
173 2.694363 1.058258 2.623699 0.597502 1.160687 1.739483 1.505612 0.687764 0.109842 1.592417 0.669961 1.554052 0.380043 0.203092 1.628119 0.348782 0.768387 0.817807 -0.031572 0.152177 1.226240 
174 2.694438 1.058341 2.623792 0.597584 1.160778 1.739572 1.505654 0.687811 0.109885 1.592436 0.670009 1.554107 0.380093 0.203114 1.628143 0.348826 0.768436 0.817853 -0.031552 0.152200 1.226261 
175 2.694510 1.058422 2.623883 0.597663 1.160868 1.739658 1.505695 0.687858 0.109928 1.592455 0.670056 1.554160 0.380142 0.203136 1.628167 0.348868 0.768485 0.817898 -0.031532 0.152222 1.226282 
176 2.694581 1.058502 2.623972 0.597740 1.160955 1.739743 1.505735 0.687903 0.109970 1.592474 0.670102 1.554213 0.380189 0.203156 1.628190 0.348910 0.768532 0.817941 -0.031513 0.152244 1.226302 
177 2.694649 1.058579 2.624059 0.597816 1.161040 1.739826 1.505774 0.687948 0.110011 1.592492 0.670147 1.554264 0.380236 0.203177 1.628213 0.348950 0.768578 0.817984 -0.031494 0.152265 1.226322 
178 2.694717 1.058654 2.624143 0.597890 1.161123 1.739906 1.505812 0.687991 0.110050 1.592509 0.670191 1.554313 0.380281 0.203196 1.628235 0.348990 0.768623 0.818025 -0.031475 0.152286 1.226341 
179 2.694782 1.058728 2.624226 0.597961 1.161204 1.739985 1.505849 0.688033 0.110089 1.592527 0.670233 1.554362 0.380326 0.203216 1.628256 0.349028 0.768667 0.818066 -0.031457 0.152306 1.226360 
180 2.694846 1.058800 2.624306 0.598032 1.161283 1.740062 1.505885 0.688075 0.110127 1.592543 0.670275 1.554409 0.380369 0.203235 1.628277 0.349066 0.768710 0.818106 -0.031440 0.152326 1.226379 
181 2.694909 1.058870 2.624385 0.598100 1.161360 1.740136 1.505920 0.688115 0.110164 1.592560 0.670315 1.554456 0.380411 0.203253 1.628298 0.349103 0.768751 0.818144 -0.031423 0.152345 1.226397 
182 2.694970 1.058938 2.624461 0.598167 1.161435 1.740209 1.505955 0.688154 0.110200 1.592576 0.670355 1.554501 0.380452 0.203271 1.628318 0.349138 0.768792 0.818182 -0.031406 0.152364 1.226414 
183 2.695029 1.059005 2.624536 0.598232 1.161509 1.740281 1.505988 0.688192 0.110235 1.592591 0.670394 1.554545 0.380492 0.203288 1.628337 0.349173 0.768832 0.818219 -0.031390 0.152382 1.226431 
184 2.695087 1.059070 2.624609 0.598295 1.161580 1.740350 1.506021 0.688230 0.110269 1.592606 0.670431 1.554588 0.380531 0.203305 1.628356 0.349207 0.768870 0.818255 -0.031374 0.152400 1.226448 
185 2.695143 1.059133 2.624680 0.598357 1.161650 1.740418 1.506053 0.688266 0.110303 1.592621 0.670468 1.554630 0.380570 0.203322 1.628375 0.349240 0.768908 0.818290 -0.031359 0.152417 1.226464 
186 2.695199 1.059195 2.624749 0.598418 1.161718 1.740484 1.506084 0.688302 0.110335 1.592636 0.670504 1.554671 0.380607 0.203338 1.628393 0.349273 0.768945 0.818324 -0.031344 0.152434 1.226480 
187 2.695253 1.059255 2.624817 0.598477 1.161785 1.740549 1.506115 0.688336 0.110367 1.592650 0.670539 1.554710 0.380643 0.203354 1.628411 0.349304 0.768981 0.818357 -0.031329 0.152451 1.226495 
188 2.695305 1.059314 2.624883 0.598534 1.161849 1.740612 1.506145 0.688370 0.110398 1.592663 0.670573 1.554749 0.380679 0.203370 1.628428 0.349335 0.769016 0.818390 -0.031314 0.152467 1.226511 
189 2.695356 1.059372 2.624947 0.598591 1.161913 1.740673 1.506174 0.688403 0.110429 1.592677 0.670606 1.554787 0.380713 0.203385 1.628445 0.349365 0.769051 0.818421 -0.031300 0.152483 1.226525 
190 2.695406 1.059428 2.625010 0.598645 1.161974 1.740733 1.506202 0.688435 0.110458 1.592690 0.670639 1.554824 0.380747 0.203400 1.628461 0.349395 0.769084 0.818452 -0.031287 0.152498 1.226540 
191 2.695455 1.059483 2.625072 0.598699 1.162035 1.740791 1.506230 0.688467 0.110487 1.592703 0.670671 1.554860 0.380780 0.203414 1.628477 0.349423 0.769117 0.818482 -0.031273 0.152513 1.226554 
192 2.695503 1.059536 2.625131 0.598751 1.162093 1.740849 1.506256 0.688497 0.110515 1.592715 0.670702 1.554896 0.380812 0.203428 1.628493 0.349451 0.769148 0.818512 -0.031260 0.152528 1.226567 
193 2.695549 1.059588 2.625190 0.598802 1.162151 1.740904 1.506283 0.688527 0.110543 1.592727 0.670732 1.554930 0.380843 0.203442 1.628508 0.349479 0.769179 0.818541 -0.031248 0.152542 1.226581 
194 2.695595 1.059639 2.625247 0.598852 1.162207 1.740958 1.506308 0.688557 0.110569 1.592739 0.670761 1.554964 0.380874 0.203455 1.628523 0.349505 0.769210 0.818569 -0.031235 0.152556 1.226594 
195 2.695639 1.059689 2.625302 0.598900 1.162261 1.741011 1.506333 0.688585 0.110596 1.592751 0.670790 1.554997 0.380904 0.203468 1.628538 0.349531 0.769239 0.818596 -0.031223 0.152570 1.226606 
196 2.695682 1.059737 2.625357 0.598947 1.162315 1.741063 1.506358 0.688613 0.110621 1.592762 0.670818 1.555028 0.380933 0.203481 1.628552 0.349556 0.769268 0.818623 -0.031211 0.152583 1.226619 
197 2.695724 1.059784 2.625410 0.598994 1.162366 1.741114 1.506382 0.688640 0.110646 1.592773 0.670845 1.555060 0.380961 0.203493 1.628566 0.349581 0.769296 0.818649 -0.031200 0.152596 1.226631 
198 2.695765 1.059831 2.625461 0.599039 1.162417 1.741163 1.506405 0.688666 0.110670 1.592784 0.670872 1.555090 0.380989 0.203505 1.628579 0.349605 0.769324 0.818674 -0.031189 0.152609 1.226643 
199 2.695805 1.059876 2.625512 0.599083 1.162467 1.741211 1.506427 0.688692 0.110694 1.592794 0.670898 1.555120 0.381016 0.203517 1.628592 0.349629 0.769350 0.818699 -0.031178 0.152621 1.226654 
200 2.695844 1.059919 2.625561 0.599125 1.162515 1.741258 1.506450 0.688717 0.110717 1.592805 0.670923 1.555149 0.381042 0.203528 1.628605 0.349652 0.769377 0.818723 -0.031167 0.152633 1.226665 
201 2.695882 1.059962 2.625609 0.599167 1.162562 1.741303 1.506471 0.688742 0.110740 1.592815 0.670948 1.555177 0.381068 0.203540 1.628618 0.349674 0.769402 0.818747 -0.031157 0.152645 1.226676 
202 2.695920 1.060004 2.625656 0.599208 1.162608 1.741348 1.506492 0.688766 0.110762 1.592824 0.670972 1.555205 0.381093 0.203551 1.628630 0.349696 0.769427 0.818770 -0.031146 0.152656 1.226687 
203 2.695956 1.060045 2.625701 0.599248 1.162653 1.741392 1.506513 0.688789 0.110783 1.592834 0.670996 1.555231 0.381118 0.203561 1.628642 0.349717 0.769451 0.818792 -0.031136 0.152668 1.226697 
204 2.695991 1.060085 2.625746 0.599287 1.162697 1.741434 1.506533 0.688812 0.110804 1.592843 0.671019 1.555258 0.381142 0.203572 1.628654 0.349738 0.769475 0.818814 -0.031127 0.152679 1.226708 
205 2.696026 1.060123 2.625789 0.599325 1.162739 1.741475 1.506552 0.688834 0.110824 1.592852 0.671042 1.555283 0.381165 0.203582 1.628665 0.349758 0.769498 0.818835 -0.031117 0.152689 1.226718 
206 2.696060 1.060161 2.625832 0.599361 1.162781 1.741516 1.506571 0.688856 0.110844 1.592861 0.671064 1.555308 0.381188 0.203592 1.628676 0.349778 0.769521 0.818856 -0.031108 0.152700 1.226727 
207 2.696093 1.060198 2.625873 0.599398 1.162821 1.741555 1.506590 0.688877 0.110864 1.592870 0.671085 1.555333 0.381210 0.203602 1.628687 0.349797 0.769543 0.818877 -0.031099 0.152710 1.226737 
208 2.696125 1.060234 2.625913 0.599433 1.162861 1.741594 1.506608 0.688898 0.110883 1.592878 0.671106 1.555357 0.381232 0.203611 1.628697 0.349816 0.769564 0.818896 -0.031090 0.152720 1.226746 
209 2.696156 1.060269 2.625953 0.599467 1.162900 1.741631 1.506626 0.688918 0.110901 1.592886 0.671126 1.555380 0.381253 0.203620 1.628708 0.349835 0.769585 0.818916 -0.031082 0.152729 1.226755 
210 2.696187 1.060304 2.625991 0.599501 1.162938 1.741668 1.506643 0.688938 0.110919 1.592894 0.671146 1.555402 0.381273 0.203629 1.628718 0.349853 0.769605 0.818935 -0.031073 0.152739 1.226764 
211 2.696217 1.060337 2.626029 0.599533 1.162974 1.741704 1.506660 0.688957 0.110937 1.592902 0.671165 1.555424 0.381294 0.203638 1.628728 0.349870 0.769625 0.818953 -0.031065 0.152748 1.226772 
212 2.696246 1.060370 2.626065 0.599565 1.163010 1.741739 1.506677 0.688976 0.110954 1.592910 0.671184 1.555446 0.381313 0.203647 1.628737 0.349887 0.769645 0.818971 -0.031057 0.152757 1.226781 
213 2.696274 1.060402 2.626101 0.599596 1.163045 1.741773 1.506693 0.688994 0.110971 1.592917 0.671203 1.555467 0.381332 0.203655 1.628747 0.349904 0.769664 0.818989 -0.031050 0.152766 1.226789 
214 2.696302 1.060433 2.626136 0.599627 1.163080 1.741806 1.506708 0.689012 0.110987 1.592924 0.671221 1.555488 0.381351 0.203663 1.628756 0.349920 0.769682 0.819006 -0.031042 0.152774 1.226797 
215 2.696329 1.060463 2.626170 0.599656 1.163113 1.741838 1.506724 0.689029 0.111003 1.592931 0.671238 1.555508 0.381369 0.203671 1.628765 0.349936 0.769700 0.819023 -0.031035 0.152782 1.226805 
216 2.696355 1.060493 2.626203 0.599685 1.163146 1.741870 1.506739 0.689046 0.111019 1.592938 0.671256 1.555527 0.381387 0.203679 1.628773 0.349951 0.769718 0.819039 -0.031027 0.152791 1.226812 
217 2.696381 1.060522 2.626236 0.599713 1.163177 1.741901 1.506753 0.689063 0.111034 1.592945 0.671272 1.555546 0.381405 0.203686 1.628782 0.349967 0.769735 0.819055 -0.031020 0.152798 1.226820 
218 2.696406 1.060550 2.626267 0.599741 1.163208 1.741931 1.506767 0.689079 0.111049 1.592952 0.671289 1.555565 0.381421 0.203694 1.628790 0.349981 0.769752 0.819070 -0.031013 0.152806 1.226827 
219 2.696431 1.060577 2.626298 0.599768 1.163239 1.741960 1.506781 0.689095 0.111063 1.592958 0.671305 1.555583 0.381438 0.203701 1.628798 0.349996 0.769768 0.819086 -0.031007 0.152814 1.226834 
220 2.696455 1.060604 2.626328 0.599794 1.163268 1.741989 1.506795 0.689110 0.111078 1.592964 0.671320 1.555601 0.381454 0.203708 1.628806 0.350010 0.769784 0.819100 -0.031000 0.152821 1.226841 
221 2.696478 1.060630 2.626357 0.599820 1.163297 1.742017 1.506808 0.689125 0.111091 1.592970 0.671335 1.555618 0.381470 0.203715 1.628813 0.350023 0.769800 0.819115 -0.030994 0.152828 1.226847 
222 2.696501 1.060656 2.626386 0.599845 1.163325 1.742044 1.506821 0.689140 0.111105 1.592976 0.671350 1.555635 0.381485 0.203722 1.628821 0.350037 0.769815 0.819129 -0.030988 0.152835 1.226854 
223 2.696523 1.060681 2.626414 0.599869 1.163352 1.742071 1.506833 0.689154 0.111118 1.592982 0.671364 1.555651 0.381500 0.203728 1.628828 0.350050 0.769830 0.819143 -0.030982 0.152842 1.226860 
224 2.696545 1.060705 2.626441 0.599893 1.163379 1.742097 1.506846 0.689168 0.111131 1.592988 0.671379 1.555667 0.381515 0.203734 1.628835 0.350062 0.769844 0.819156 -0.030976 0.152849 1.226866 
225 2.696566 1.060729 2.626468 0.599916 1.163405 1.742122 1.506857 0.689182 0.111143 1.592993 0.671392 1.555683 0.381529 0.203741 1.628842 0.350075 0.769859 0.819169 -0.030970 0.152855 1.226873 
226 2.696586 1.060752 2.626494 0.599938 1.163431 1.742147 1.506869 0.689195 0.111155 1.592999 0.671406 1.555698 0.381543 0.203747 1.628849 0.350087 0.769872 0.819182 -0.030964 0.152862 1.226878 
227 2.696607 1.060775 2.626519 0.599960 1.163456 1.742171 1.506881 0.689208 0.111167 1.593004 0.671419 1.555713 0.381557 0.203753 1.628856 0.350099 0.769886 0.819194 -0.030959 0.152868 1.226884 
228 2.696626 1.060797 2.626544 0.599982 1.163480 1.742194 1.506892 0.689221 0.111179 1.593009 0.671432 1.555728 0.381570 0.203758 1.628862 0.350110 0.769899 0.819206 -0.030953 0.152874 1.226890 
229 2.696645 1.060818 2.626568 0.600003 1.163503 1.742217 1.506902 0.689233 0.111190 1.593014 0.671444 1.555742 0.381583 0.203764 1.628868 0.350122 0.769912 0.819218 -0.030948 0.152880 1.226895 
230 2.696664 1.060839 2.626591 0.600023 1.163527 1.742240 1.506913 0.689245 0.111201 1.593019 0.671456 1.555756 0.381595 0.203770 1.628875 0.350133 0.769924 0.819230 -0.030943 0.152886 1.226901 
231 2.696682 1.060860 2.626614 0.600043 1.163549 1.742261 1.506923 0.689257 0.111212 1.593024 0.671468 1.555769 0.381608 0.203775 1.628881 0.350143 0.769936 0.819241 -0.030938 0.152891 1.226906 
232 2.696700 1.060880 2.626637 0.600063 1.163571 1.742283 1.506933 0.689268 0.111223 1.593029 0.671480 1.555783 0.381620 0.203780 1.628886 0.350154 0.769948 0.819252 -0.030933 0.152897 1.226911 
233 2.696717 1.060899 2.626659 0.600082 1.163593 1.742304 1.506943 0.689280 0.111233 1.593033 0.671491 1.555795 0.381631 0.203785 1.628892 0.350164 0.769960 0.819263 -0.030928 0.152902 1.226916 
234 2.696734 1.060918 2.626680 0.600101 1.163613 1.742324 1.506953 0.689290 0.111243 1.593038 0.671502 1.555808 0.381643 0.203790 1.628898 0.350174 0.769971 0.819273 -0.030924 0.152907 1.226921 
235 2.696751 1.060937 2.626701 0.600119 1.163634 1.742344 1.506962 0.689301 0.111253 1.593042 0.671513 1.555820 0.381654 0.203795 1.628903 0.350184 0.769982 0.819283 -0.030919 0.152912 1.226926 
236 2.696767 1.060955 2.626721 0.600136 1.163654 1.742363 1.506971 0.689312 0.111262 1.593046 0.671523 1.555832 0.381665 0.203800 1.628908 0.350193 0.769993 0.819293 -0.030915 0.152917 1.226930 
237 2.696783 1.060973 2.626741 0.600154 1.163673 1.742382 1.506980 0.689322 0.111271 1.593050 0.671533 1.555844 0.381676 0.203805 1.628914 0.350202 0.770004 0.819303 -0.030910 0.152922 1.226935 
238 2.696798 1.060990 2.626760 0.600171 1.163692 1.742400 1.506989 0.689332 0.111281 1.593054 0.671543 1.555855 0.381686 0.203809 1.628919 0.350211 0.770014 0.819313 -0.030906 0.152927 1.226939 
239 2.696813 1.061007 2.626779 0.600187 1.163711 1.742418 1.506997 0.689341 0.111289 1.593058 0.671553 1.555866 0.381696 0.203814 1.628924 0.350220 0.770024 0.819322 -0.030902 0.152932 1.226944 
240 2.696828 1.061023 2.626797 0.600203 1.163729 1.742436 1.507006 0.689351 0.111298 1.593062 0.671563 1.555877 0.381706 0.203818 1.628928 0.350229 0.770034 0.819331 -0.030898 0.152936 1.226948 
241 2.696842 1.061039 2.626815 0.600219 1.163746 1.742453 1.507014 0.689360 0.111306 1.593066 0.671572 1.555888 0.381716 0.203822 1.628933 0.350237 0.770043 0.819340 -0.030894 0.152940 1.226952 
242 2.696856 1.061055 2.626833 0.600234 1.163764 1.742470 1.507022 0.689369 0.111315 1.593069 0.671581 1.555898 0.381725 0.203826 1.628938 0.350245 0.770053 0.819348 -0.030890 0.152945 1.226956 
243 2.696870 1.061070 2.626850 0.600249 1.163780 1.742486 1.507029 0.689378 0.111323 1.593073 0.671590 1.555908 0.381734 0.203830 1.628942 0.350253 0.770062 0.819357 -0.030887 0.152949 1.226960 
244 2.696883 1.061085 2.626867 0.600263 1.163797 1.742502 1.507037 0.689386 0.111331 1.593076 0.671598 1.555918 0.381743 0.203834 1.628947 0.350261 0.770070 0.819365 -0.030883 0.152953 1.226964 
245 2.696896 1.061099 2.626883 0.600278 1.163813 1.742517 1.507044 0.689394 0.111338 1.593080 0.671607 1.555928 0.381752 0.203838 1.628951 0.350269 0.770079 0.819373 -0.030880 0.152957 1.226967 
246 2.696909 1.061114 2.626899 0.600291 1.163828 1.742532 1.507051 0.689403 0.111346 1.593083 0.671615 1.555937 0.381760 0.203842 1.628955 0.350276 0.770088 0.819381 -0.030876 0.152961 1.226971 
247 2.696921 1.061127 2.626914 0.600305 1.163843 1.742547 1.507058 0.689411 0.111353 1.593086 0.671623 1.555946 0.381769 0.203845 1.628959 0.350283 0.770096 0.819388 -0.030873 0.152965 1.226974 
248 2.696933 1.061141 2.626929 0.600318 1.163858 1.742561 1.507065 0.689418 0.111360 1.593089 0.671631 1.555955 0.381777 0.203849 1.628963 0.350290 0.770104 0.819396 -0.030870 0.152968 1.226978 
249 2.696945 1.061154 2.626944 0.600331 1.163873 1.742575 1.507072 0.689426 0.111367 1.593092 0.671639 1.555964 0.381785 0.203852 1.628967 0.350297 0.770112 0.819403 -0.030866 0.152972 1.226981 
250 2.696956 1.061167 2.626959 0.600343 1.163887 1.742589 1.507078 0.689433 0.111374 1.593095 0.671646 1.555972 0.381792 0.203856 1.628971 0.350304 0.770119 0.819410 -0.030863 0.152976 1.226985 
