Time p_x p_y 
0.000000 0.246707 -0.279970 
0.002004 0.246567 -0.259136 
0.004008 0.246437 -0.300109 
0.006012 0.246287 -0.329421 
0.008016 0.246123 -0.316488 
0.010020 0.245964 -0.320032 
0.012024 0.245804 -0.320654 
0.014028 0.245644 -0.356420 
0.016032 0.245466 -0.353526 
0.018036 0.245289 -0.349404 
0.020040 0.245114 -0.335121 
0.022044 0.244947 -0.367982 
0.024048 0.244763 -0.345072 
0.026052 0.244590 -0.368734 
0.028056 0.244406 -0.367284 
0.030060 0.244222 -0.333351 
0.032064 0.244056 -0.303556 
0.034068 0.243904 -0.294834 
0.036072 0.243756 -0.271054 
0.038076 0.243621 -0.296810 
0.040080 0.243472 -0.278348 
0.042084 0.243333 -0.257898 
0.044088 0.243204 -0.280907 
0.046092 0.243064 -0.277776 
0.048096 0.242925 -0.213842 
0.050100 0.242818 -0.192367 
0.052104 0.242722 -0.164579 
0.054108 0.242640 -0.151076 
0.056112 0.242564 -0.177047 
0.058116 0.242476 -0.219569 
0.060120 0.242366 -0.221391 
0.062124 0.242255 -0.244131 
0.064128 0.242133 -0.276441 
0.066132 0.241995 -0.279525 
0.068136 0.241855 -0.269847 
0.070140 0.241720 -0.219458 
0.072144 0.241610 -0.229764 
0.074148 0.241495 -0.227762 
0.076152 0.241382 -0.169465 
0.078156 0.241297 -0.192725 
0.080160 0.241200 -0.187116 
0.082164 0.241107 -0.193131 
0.084168 0.241010 -0.163722 
0.086172 0.240928 -0.161297 
0.088176 0.240848 -0.132941 
0.090180 0.240781 -0.123829 
0.092184 0.240719 -0.106985 
0.094188 0.240666 -0.144495 
0.096192 0.240594 -0.160983 
0.098196 0.240513 -0.190646 
0.100200 0.240418 -0.224499 
0.102204 0.240306 -0.204147 
0.104208 0.240204 -0.180849 
0.106212 0.240113 -0.183974 
0.108216 0.240021 -0.206178 
0.110220 0.239918 -0.182867 
0.112224 0.239827 -0.142126 
0.114228 0.239756 -0.126486 
0.116232 0.239692 -0.144971 
0.118236 0.239620 -0.155105 
0.120240 0.239542 -0.139461 
0.122244 0.239473 -0.138161 
0.124248 0.239403 -0.115301 
0.126253 0.239346 -0.137366 
0.128257 0.239277 -0.103109 
0.130261 0.239226 -0.109664 
0.132265 0.239171 -0.125682 
0.134269 0.239108 -0.152056 
0.136273 0.239032 -0.133003 
0.138277 0.238965 -0.140616 
0.140281 0.238895 -0.146838 
0.142285 0.238822 -0.155361 
0.144289 0.238744 -0.178690 
0.146293 0.238655 -0.194595 
