Time p_x p_y 
0.374749 -0.198305 0.118493 
0.376754 -0.198246 0.102847 
0.378758 -0.198195 0.144242 
0.380762 -0.198123 0.110532 
0.382766 -0.198067 0.116529 
0.384770 -0.198009 0.105421 
0.386774 -0.197956 0.100807 
0.388778 -0.197906 0.062186 
0.390782 -0.197875 0.081093 
0.392786 -0.197834 0.086003 
0.394790 -0.197791 0.110578 
0.396794 -0.197736 0.124534 
0.398798 -0.197674 0.106807 
0.400802 -0.197620 0.079554 
0.402806 -0.197581 0.068209 
0.404810 -0.197547 0.079908 
0.406814 -0.197507 0.055277 
0.408818 -0.197479 0.049887 
0.410822 -0.197454 0.001099 
0.412826 -0.197453 -0.020809 
0.414830 -0.197464 -0.010111 
0.416834 -0.197469 0.008252 
0.418838 -0.197465 0.039454 
0.420842 -0.197445 0.048931 
0.422846 -0.197421 0.057094 
0.424850 -0.197392 0.035300 
0.426854 -0.197374 -0.008860 
0.428858 -0.197379 0.013481 
0.430862 -0.197372 0.025606 
0.432866 -0.197359 0.035659 
0.434870 -0.197341 0.050374 
0.436874 -0.197316 0.040661 
0.438878 -0.197296 0.065848 
0.440882 -0.197263 0.087387 
0.442886 -0.197219 0.081001 
0.444890 -0.197179 0.067298 
0.446894 -0.197145 0.066240 
0.448898 -0.197112 0.081277 
0.450902 -0.197071 0.107057 
0.452906 -0.197018 0.129242 
0.454910 -0.196953 0.086969 
0.456914 -0.196910 0.093622 
0.458918 -0.196863 0.025063 
0.460922 -0.196850 -0.010604 
0.462926 -0.196856 -0.029436 
0.464930 -0.196870 -0.028350 
0.466934 -0.196885 -0.029543 
0.468938 -0.196899 -0.032188 
0.470942 -0.196915 -0.008901 
0.472946 -0.196920 -0.006190 
0.474950 -0.196923 0.013613 
0.476954 -0.196916 0.011992 
0.478958 -0.196910 -0.008373 
0.480962 -0.196914 -0.034814 
0.482966 -0.196932 -0.007893 
0.484970 -0.196936 -0.017109 
0.486974 -0.196944 -0.006201 
0.488978 -0.196947 -0.006263 
0.490982 -0.196951 -0.017892 
0.492986 -0.196959 -0.007509 
0.494990 -0.196963 -0.026264 
0.496994 -0.196976 -0.005599 
0.498998 -0.196979 0.023067 
0.501002 -0.196968 0.063845 
0.503006 -0.196936 0.079021 
0.505010 -0.196896 0.099997 
0.507014 -0.196846 0.117675 
0.509018 -0.196787 0.095179 
0.511022 -0.196740 0.092654 
0.513026 -0.196693 0.102079 
0.515030 -0.196642 0.076572 
0.517034 -0.196604 0.071631 
0.519038 -0.196568 0.040015 
0.521042 -0.196548 0.034213 
0.523046 -0.196531 0.039376 
0.525050 -0.196512 0.046954 
0.527054 -0.196488 0.062296 
0.529058 -0.196457 0.084282 
0.531062 -0.196415 0.079514 
0.533066 -0.196375 0.101059 
0.535070 -0.196324 0.124248 
0.537074 -0.196262 0.120781 
0.539078 -0.196202 0.123299 
0.541082 -0.196140 0.143676 
0.543086 -0.196068 0.142235 
0.545090 -0.195997 0.126020 
0.547094 -0.195934 0.114692 
0.549098 -0.195877 0.100345 
0.551102 -0.195827 0.076147 
0.553106 -0.195789 0.103763 
0.555110 -0.195737 0.057182 
0.557114 -0.195708 0.055172 
0.559118 -0.195681 0.058120 
0.561122 -0.195652 0.062781 
0.563126 -0.195620 0.058055 
0.565130 -0.195591 0.023958 
0.567134 -0.195579 0.011842 
0.569138 -0.195573 -0.011086 
0.571142 -0.195579 0.004346 
0.573146 -0.195577 -0.004394 
0.575150 -0.195579 0.006298 
0.577154 -0.195576 0.004932 
0.579158 -0.195573 -0.007517 
0.581162 -0.195577 -0.023907 
0.583166 -0.195589 -0.054857 
0.585170 -0.195616 -0.072667 
0.587174 -0.195653 -0.086272 
0.589178 -0.195696 -0.088674 
0.591182 -0.195740 -0.079348 
0.593186 -0.195780 -0.074143 
0.595190 -0.195817 -0.054920 
0.597194 -0.195844 -0.053787 
0.599198 -0.195871 -0.030850 
0.601202 -0.195887 -0.034869 
0.603206 -0.195904 -0.041306 
0.605210 -0.195925 -0.023027 
0.607214 -0.195936 -0.015772 
0.609218 -0.195944 -0.012632 
0.611222 -0.195951 -0.022672 
0.613226 -0.195962 -0.026049 
0.615230 -0.195975 -0.045659 
0.617234 -0.195998 -0.049921 
0.619238 -0.196023 -0.045517 
0.621242 -0.196045 -0.009809 
0.623246 -0.196050 -0.019651 
0.625251 -0.196060 -0.029046 
0.627255 -0.196075 -0.023956 
0.629259 -0.196087 -0.020642 
0.631263 -0.196097 -0.020387 
0.633267 -0.196107 -0.017942 
0.635271 -0.196116 -0.063734 
0.637275 -0.196148 -0.034310 
0.639279 -0.196165 -0.020453 
0.641283 -0.196175 -0.029793 
0.643287 -0.196190 -0.044395 
0.645291 -0.196212 -0.059791 
0.647295 -0.196242 -0.097303 
0.649299 -0.196291 -0.102812 
0.651303 -0.196342 -0.076088 
0.653307 -0.196380 -0.111014 
0.655311 -0.196436 -0.149999 
0.657315 -0.196511 -0.150496 
0.659319 -0.196586 -0.180601 
0.661323 -0.196677 -0.186981 
0.663327 -0.196770 -0.203737 
0.665331 -0.196872 -0.194041 
0.667335 -0.196969 -0.203642 
0.669339 -0.197071 -0.200877 
0.671343 -0.197171 -0.191433 
0.673347 -0.197267 -0.182342 
0.675351 -0.197358 -0.171489 
0.677355 -0.197444 -0.178014 
0.679359 -0.197533 -0.233198 
0.681363 -0.197649 -0.227521 
0.683367 -0.197763 -0.248262 
0.685371 -0.197887 -0.236333 
0.687375 -0.198005 -0.265956 
0.689379 -0.198138 -0.243022 
0.691383 -0.198260 -0.263142 
0.693387 -0.198392 -0.277773 
0.695391 -0.198530 -0.268836 
0.697395 -0.198665 -0.216361 
0.699399 -0.198773 -0.237471 
0.701403 -0.198892 -0.197428 
0.703407 -0.198990 -0.186437 
0.705411 -0.199084 -0.206380 
0.707415 -0.199187 -0.189269 
0.709419 -0.199282 -0.184287 
0.711423 -0.199374 -0.194775 
0.713427 -0.199471 -0.204529 
0.715431 -0.199573 -0.250380 
0.717435 -0.199699 -0.253954 
0.719439 -0.199825 -0.242066 
0.721443 -0.199947 -0.236132 
0.723447 -0.200065 -0.243536 
0.725451 -0.200186 -0.219704 
0.727455 -0.200296 -0.228552 
0.729459 -0.200410 -0.214767 
0.731463 -0.200518 -0.240642 
0.733467 -0.200638 -0.244946 
0.735471 -0.200761 -0.238531 
0.737475 -0.200880 -0.222393 
0.739479 -0.200991 -0.221518 
0.741483 -0.201102 -0.213836 
0.743487 -0.201209 -0.185741 
0.745491 -0.201302 -0.157915 
0.747495 -0.201381 -0.170503 
0.749499 -0.201466 -0.165253 
0.751503 -0.201549 -0.130651 
0.753507 -0.201614 -0.126916 
0.755511 -0.201677 -0.126212 
0.757515 -0.201740 -0.094487 
0.759519 -0.201788 -0.074543 
0.761523 -0.201825 -0.089240 
0.763527 -0.201870 -0.089159 
0.765531 -0.201914 -0.114299 
0.767535 -0.201971 -0.119865 
0.769539 -0.202031 -0.099776 
0.771543 -0.202081 -0.128586 
0.773547 -0.202145 -0.105749 
0.775551 -0.202198 -0.114350 
0.777555 -0.202255 -0.129954 
0.779559 -0.202320 -0.146385 
0.781563 -0.202394 -0.194018 
0.783567 -0.202491 -0.196135 
0.785571 -0.202589 -0.221906 
0.787575 -0.202700 -0.259464 
0.789579 -0.202829 -0.259587 
0.791583 -0.202959 -0.272736 
0.793587 -0.203096 -0.281676 
0.795591 -0.203236 -0.278912 
0.797595 -0.203376 -0.275250 
0.799599 -0.203513 -0.283094 
0.801603 -0.203655 -0.289489 
0.803607 -0.203800 -0.298401 
0.805611 -0.203949 -0.304151 
0.807615 -0.204101 -0.325087 
0.809619 -0.204264 -0.354341 
0.811623 -0.204441 -0.379523 
0.813627 -0.204630 -0.367739 
0.815631 -0.204814 -0.367639 
0.817635 -0.204998 -0.347539 
0.819639 -0.205172 -0.321176 
0.821643 -0.205333 -0.338277 
0.823647 -0.205502 -0.361930 
0.825651 -0.205683 -0.403560 
0.827655 -0.205884 -0.408307 
0.829659 -0.206089 -0.392875 
0.831663 -0.206285 -0.359402 
0.833667 -0.206465 -0.357730 
0.835671 -0.206644 -0.368152 
0.837675 -0.206828 -0.363257 
0.839679 -0.207009 -0.381664 
0.841683 -0.207200 -0.379670 
0.843687 -0.207390 -0.381510 
0.845691 -0.207581 -0.409237 
0.847695 -0.207785 -0.416794 
0.849699 -0.207994 -0.406486 
0.851703 -0.208197 -0.374666 
0.853707 -0.208384 -0.362398 
0.855711 -0.208565 -0.319000 
0.857715 -0.208725 -0.334548 
0.859719 -0.208892 -0.330449 
0.861723 -0.209057 -0.334220 
0.863727 -0.209225 -0.330962 
0.865731 -0.209390 -0.355071 
0.867735 -0.209568 -0.357426 
0.869739 -0.209746 -0.364521 
0.871743 -0.209929 -0.372911 
0.873747 -0.210115 -0.381101 
0.875752 -0.210306 -0.386921 
0.877756 -0.210499 -0.386770 
0.879760 -0.210692 -0.357840 
0.881764 -0.210871 -0.366364 
0.883768 -0.211055 -0.366532 
0.885772 -0.211238 -0.403408 
0.887776 -0.211439 -0.399297 
0.889780 -0.211639 -0.397542 
0.891784 -0.211838 -0.412061 
0.893788 -0.212044 -0.403835 
0.895792 -0.212246 -0.410299 
0.897796 -0.212451 -0.416422 
0.899800 -0.212659 -0.441728 
0.901804 -0.212880 -0.422166 
0.903808 -0.213091 -0.442845 
0.905812 -0.213313 -0.440491 
0.907816 -0.213533 -0.437889 
0.909820 -0.213752 -0.421882 
0.911824 -0.213963 -0.405415 
0.913828 -0.214165 -0.435778 
0.915832 -0.214383 -0.406982 
0.917836 -0.214587 -0.394220 
0.919840 -0.214784 -0.415514 
0.921844 -0.214992 -0.437707 
0.923848 -0.215211 -0.446926 
0.925852 -0.215434 -0.458971 
0.927856 -0.215663 -0.437446 
0.929860 -0.215882 -0.414733 
0.931864 -0.216090 -0.410074 
0.933868 -0.216295 -0.387189 
0.935872 -0.216488 -0.384800 
0.937876 -0.216681 -0.355204 
0.939880 -0.216858 -0.328023 
0.941884 -0.217022 -0.356462 
0.943888 -0.217200 -0.337831 
0.945892 -0.217369 -0.329673 
0.947896 -0.217534 -0.334658 
0.949900 -0.217702 -0.315926 
0.951904 -0.217859 -0.326063 
0.953908 -0.218023 -0.338788 
0.955912 -0.218192 -0.326195 
0.957916 -0.218355 -0.328637 
0.959920 -0.218519 -0.326574 
0.961924 -0.218683 -0.300996 
0.963928 -0.218833 -0.312152 
0.965932 -0.218989 -0.306824 
0.967936 -0.219143 -0.289735 
0.969940 -0.219287 -0.315869 
0.971944 -0.219445 -0.313646 
0.973948 -0.219602 -0.317518 
0.975952 -0.219761 -0.307373 
0.977956 -0.219915 -0.301593 
0.979960 -0.220065 -0.301022 
0.981964 -0.220216 -0.319470 
0.983968 -0.220376 -0.298904 
0.985972 -0.220525 -0.265605 
0.987976 -0.220658 -0.254679 
0.989980 -0.220785 -0.235863 
0.991984 -0.220903 -0.234869 
0.993988 -0.221021 -0.243774 
0.995992 -0.221143 -0.239822 
0.997996 -0.221262 -0.274628 
1.000000 -0.221400 -0.237613 
